stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage1_sgd,1,0.39563327,0.37577892,0.38168143,0.36214061,0.69759233,0.68191576,0.0005,,,,,,,
stage1_sgd,1,0.39065266,0.37089544,0.38169042,0.36211432,0.44811201,0.43905633,0.0005,,,,,,,
stage1_sgd,2,0.35190333,0.32783415,0.34369738,0.31989902,0.41029730,0.39675608,0.0005,,,,,,,
stage1_sgd,3,0.31278481,0.29503088,0.30540385,0.28780477,0.36904847,0.36130542,0.0005,,,,,,,
stage1_sgd,4,0.27930654,0.25276487,0.27250705,0.24601614,0.33997419,0.33743641,0.0005,,,,,,,
stage1_sgd,5,0.21508711,0.18738676,0.20887922,0.18093862,0.31039438,0.32240699,0.0005,,,,,,,
stage1_sgd,6,0.17833420,0.17100996,0.17215649,0.16468630,0.30888575,0.31618315,0.00025,,,,,,,
stage1_sgd,7,0.17401199,0.16378753,0.16754543,0.15725759,0.32332821,0.32649709,0.00025,,,,,,,
stage1_sgd,8,0.15924025,0.16347037,0.15312149,0.15715904,0.30593779,0.31556660,0.00025,,,,,,,
stage1_sgd,9,0.15319347,0.15886697,0.14719462,0.15273025,0.29994255,0.30683597,0.00025,,,,,,,
stage1_sgd,10,0.14904996,0.14845039,0.14307975,0.14223524,0.29851035,0.31075771,0.00025,,,,,,,
stage1_sgd,11,0.15265741,0.14890993,0.14668545,0.14265521,0.29859812,0.31273602,0.00025,,,,,,,
stage1_sgd,12,0.14519051,0.13972991,0.13909867,0.13364630,0.30459213,0.30418040,0.00025,,,,,,,
stage1_sgd,13,0.14264883,0.15018506,0.13651698,0.14333281,0.30659217,0.34261240,0.00025,,,,,,,
stage1_sgd,14,0.15889982,0.15986751,0.15281115,0.15365416,0.30443344,0.31066729,0.00025,,,,,,,
stage1_sgd,15,0.17988922,0.18246546,0.17357334,0.17554823,0.31579371,0.34586165,0.00025,,,,,,,
stage1_sgd,16,0.16003006,0.14842492,0.15376821,0.14231473,0.31309254,0.30550943,0.00025,,,,,,,
stage1_sgd,17,0.13730057,0.13100346,0.13160521,0.12502092,0.28476827,0.29912687,0.00025,,,,,,,
stage1_sgd,18,0.13138287,0.12318265,0.12578445,0.11714698,0.27992090,0.30178351,0.00025,,,,,,,
stage1_sgd,19,0.12614254,0.12658191,0.12029934,0.12075329,0.29215987,0.29143099,0.00025,,,,,,,
stage1_sgd,20,0.12662183,0.16762304,0.12091749,0.16078298,0.28521692,0.34200265,0.00025,,,,,,,
stage1_sgd,21,0.13129378,0.12603945,0.12543674,0.12010731,0.29285180,0.29660719,0.00025,,,,,,,
stage1_sgd,22,0.12056184,0.11553124,0.11499367,0.10973969,0.27840858,0.28957756,0.00025,,,,,,,
stage1_sgd,23,0.11907779,0.11095219,0.11332396,0.10519061,0.28769155,0.28807889,0.00025,,,,,,,
stage1_sgd,24,0.11564082,0.11614967,0.10995879,0.11035617,0.28410163,0.28967501,0.00025,,,,,,,
stage1_sgd,25,0.13899678,0.16048328,0.13280991,0.15368616,0.30934336,0.33985637,0.00025,,,,,,,
stage1_sgd,26,0.18211637,0.28787200,0.17531712,0.28036981,0.33996264,0.37510980,0.000125,,,,,,,
stage1_sgd,27,0.21706495,0.19182257,0.21074239,0.18513869,0.31612808,0.33419401,0.000125,,,,,,,
