stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.19012736,0.16267880,0.17501257,0.14705071,0.30229573,0.31256178,5e-05,,,,,,,
stage2_adamw,2,0.14280547,0.13322120,0.12890686,0.11704863,0.27797226,0.32345125,4.9988898e-05,,,,,,,
stage2_adamw,3,0.13898560,0.15299454,0.12526503,0.13731671,0.27441159,0.31355658,4.9955601e-05,,,,,,,
stage2_adamw,4,0.13779691,0.16419342,0.12265778,0.14582043,0.30278260,0.36745976,4.9900144e-05,,,,,,,
stage2_adamw,5,0.12305760,0.11368452,0.10855210,0.09879987,0.29010988,0.29769294,4.9822581e-05,,,,,,,
stage2_adamw,6,0.11300428,0.11936881,0.09918210,0.10472056,0.27644349,0.29296505,4.9722988e-05,,,,,,,
stage2_adamw,7,0.10325530,0.10086134,0.09053010,0.08747107,0.25450407,0.26780549,4.9601463e-05,,,,,,,
stage2_adamw,8,0.10807657,0.10655119,0.09517807,0.09246712,0.25796984,0.28168124,4.9458127e-05,,,,,,,
stage2_adamw,9,0.10330524,0.10175703,0.09079181,0.08793269,0.25026846,0.27648688,4.9293121e-05,,,,,,,
stage2_adamw,10,0.09355261,0.09944754,0.08138201,0.08621348,0.24341202,0.26468118,4.9106608e-05,,,,,,,
stage2_adamw,11,0.09135291,0.09383635,0.07891091,0.08048128,0.24883996,0.26710140,4.8898772e-05,,,,,,,
stage2_adamw,12,0.09330528,0.10508216,0.08043357,0.09106379,0.25743431,0.28036739,4.8669817e-05,,,,,,,
stage2_adamw,13,0.09425746,0.09487800,0.08178243,0.08202179,0.24950064,0.25712425,4.8419971e-05,,,,,,,
stage2_adamw,14,0.08940619,0.12992225,0.07781447,0.11622078,0.23183439,0.27402950,4.8149479e-05,,,,,,,
stage2_adamw,15,0.09881178,0.08636289,0.08656734,0.07321925,0.24488879,0.26287295,4.7858609e-05,,,,,,,
stage2_adamw,16,0.08080265,0.07514542,0.06933051,0.06350430,0.22944290,0.23282243,4.7547647e-05,,,,,,,
stage2_adamw,17,0.08642877,0.07853688,0.07500369,0.06662854,0.22850164,0.23816674,4.72169e-05,,,,,,,
stage2_adamw,18,0.08852383,0.08090370,0.07612521,0.06799441,0.24797239,0.25818584,4.6866696e-05,,,,,,,
stage2_adamw,19,0.07782995,0.07877304,0.06558273,0.06546137,0.24494441,0.26623347,4.6497378e-05,,,,,,,
stage2_adamw,20,0.09939246,0.11109117,0.08615384,0.09556166,0.26477244,0.31059015,4.6109313e-05,,,,,,,
stage2_adamw,21,0.09245011,0.08460341,0.08002220,0.07237894,0.24855802,0.24448949,4.5702882e-05,,,,,,,
stage2_adamw,22,0.08475613,0.07809748,0.07412646,0.06626941,0.21259332,0.23656139,4.5278488e-05,,,,,,,
stage2_adamw,23,0.08811934,0.10099568,0.07564421,0.08497153,0.24950271,0.32048311,4.4836548e-05,,,,,,,
stage2_adamw,24,0.09075712,0.08209162,0.07666531,0.06741613,0.28183609,0.29350975,4.4377499e-05,,,,,,,
stage2_adamw,25,0.07964629,0.08152632,0.06699507,0.06746563,0.25302455,0.28121384,4.3901794e-05,,,,,,,
stage2_adamw,26,0.07752968,0.07666605,0.06508949,0.06349885,0.24880389,0.26334403,4.3409903e-05,,,,,,,
stage2_adamw,27,0.07774128,0.08159208,0.06612006,0.06969936,0.23242434,0.23785443,4.290231e-05,,,,,,,
stage2_adamw,28,0.07599519,0.07267208,0.06540001,0.06180301,0.21190357,0.21738149,4.2379517e-05,,,,,,,
stage2_adamw,29,0.06695021,0.06772882,0.05636007,0.05658633,0.21180274,0.22284982,4.184204e-05,,,,,,,
stage2_adamw,30,0.06649778,0.06583442,0.05572864,0.05487731,0.21538272,0.21914219,4.1290409e-05,,,,,,,
stage2_adamw,31,0.06940133,0.07089406,0.05889024,0.05836378,0.21022174,0.25060564,4.0725168e-05,,,,,,,
stage2_adamw,32,0.07151988,0.06734629,0.06079904,0.05561589,0.21441667,0.23460791,4.0146876e-05,,,,,,,
stage2_adamw,33,0.06911609,0.07245245,0.05861729,0.06120433,0.20997596,0.22496250,3.9556103e-05,,,,,,,
stage2_adamw,34,0.08196976,0.09552531,0.07137858,0.08304102,0.21182350,0.24968578,3.8953432e-05,,,,,,,
stage2_adamw,35,0.06712803,0.06441678,0.05711041,0.05416815,0.20035251,0.20497261,3.8339458e-05,,,,,,,
stage2_adamw,36,0.06010717,0.06770842,0.05063368,0.05704573,0.18946984,0.21325380,3.7714786e-05,,,,,,,
stage2_adamw,37,0.06099380,0.06163196,0.05136112,0.05106400,0.19265364,0.21135916,3.7080034e-05,,,,,,,
stage2_adamw,38,0.05867026,0.07020957,0.04896417,0.05967697,0.19412184,0.21065208,3.6435828e-05,,,,,,,
stage2_adamw,39,0.06129515,0.06730920,0.05178862,0.05587311,0.19013051,0.22872190,3.5782802e-05,,,,,,,
stage2_adamw,40,0.06374432,0.06842915,0.05332295,0.05667046,0.20842742,0.23517373,3.5121603e-05,,,,,,,
stage2_adamw,41,0.06893199,0.09106804,0.05818714,0.07958362,0.21489712,0.22968844,3.4452882e-05,,,,,,,
stage2_adamw,42,0.06506166,0.06107190,0.05504341,0.05103328,0.20036500,0.20077234,3.37773e-05,,,,,,,
stage2_adamw,43,0.06537313,0.06490096,0.05558879,0.05367712,0.19568670,0.22447679,3.3095522e-05,,,,,,,
stage2_adamw,44,0.06103441,0.06680589,0.05133121,0.05601416,0.19406399,0.21583474,3.2408223e-05,,,,,,,
stage2_adamw,45,0.06246944,0.07279949,0.05315415,0.06191829,0.18630589,0.21762400,3.171608e-05,,,,,,,
stage2_adamw,46,0.05743356,0.05904553,0.04807291,0.04879011,0.18721281,0.20510824,3.1019775e-05,,,,,,,
stage2_adamw,47,0.05784409,0.06216077,0.04824985,0.05192343,0.19188483,0.20474671,3.0319998e-05,,,,,,,
stage2_adamw,48,0.05564631,0.05830427,0.04579236,0.04793501,0.19707896,0.20738519,2.9617437e-05,,,,,,,
stage2_adamw,49,0.05813611,0.05999093,0.04861800,0.04984263,0.19036225,0.20296603,2.8912787e-05,,,,,,,
stage2_adamw,50,0.06450252,0.07118406,0.05500558,0.06012684,0.18993872,0.22114437,2.8206742e-05,,,,,,,
stage2_adamw,51,0.05871154,0.06105171,0.04927249,0.05133017,0.18878085,0.19443082,2.75e-05,,,,,,,
stage2_adamw,52,0.05545074,0.05770459,0.04612736,0.04778233,0.18646774,0.19844531,2.6793258e-05,,,,,,,
stage2_adamw,53,0.05429859,0.05592401,0.04471212,0.04616889,0.19172959,0.19510251,2.6087213e-05,,,,,,,
stage2_adamw,54,0.05171525,0.06125919,0.04227795,0.05119094,0.18874598,0.20136489,2.5382563e-05,,,,,,,
stage2_adamw,55,0.05529709,0.05436317,0.04578375,0.04470184,0.19026679,0.19322672,2.4680002e-05,,,,,,,
stage2_adamw,56,0.06046558,0.07246650,0.05058535,0.06037317,0.19760454,0.24186653,2.3980225e-05,,,,,,,
stage2_adamw,57,0.05759460,0.05493148,0.04815527,0.04527692,0.18878660,0.19309107,2.328392e-05,,,,,,,
stage2_adamw,58,0.05030521,0.05401437,0.04133360,0.04381989,0.17943222,0.20388959,2.2591777e-05,,,,,,,
stage2_adamw,59,0.04723983,0.05493815,0.03849597,0.04518432,0.17487707,0.19507661,2.1904478e-05,,,,,,,
stage2_adamw,60,0.04910832,0.05600795,0.04034748,0.04634757,0.17521689,0.19320752,2.12227e-05,,,,,,,
stage2_adamw,61,0.04853079,0.05027646,0.03964032,0.04069656,0.17780939,0.19159797,2.0547118e-05,,,,,,,
stage2_adamw,62,0.05526739,0.06103317,0.04576358,0.05048607,0.19007623,0.21094204,1.9878397e-05,,,,,,,
stage2_adamw,63,0.05009116,0.05621164,0.04071547,0.04567377,0.18751377,0.21075743,1.9217198e-05,,,,,,,
stage2_adamw,64,0.04705551,0.05153761,0.03786003,0.04147370,0.18390955,0.20127816,1.8564172e-05,,,,,,,
stage2_adamw,65,0.05038869,0.05341559,0.04135726,0.04346953,0.18062855,0.19892123,1.7919966e-05,,,,,,,
stage2_adamw,66,0.04712093,0.05954656,0.03803251,0.04929561,0.18176828,0.20501912,1.7285214e-05,,,,,,,
stage2_adamw,67,0.04548382,0.04767779,0.03630172,0.03822737,0.18364213,0.18900847,1.6660542e-05,,,,,,,
stage2_adamw,68,0.05300011,0.05824669,0.04364669,0.04800257,0.18706834,0.20488235,1.6046568e-05,,,,,,,
stage2_adamw,69,0.04932903,0.05273113,0.04016553,0.04263377,0.18326999,0.20194726,1.5443897e-05,,,,,,,
stage2_adamw,70,0.04553265,0.05152088,0.03637723,0.04137462,0.18310842,0.20292508,1.4853124e-05,,,,,,,
stage2_adamw,71,0.04545255,0.05615590,0.03624806,0.04574182,0.18408988,0.20828167,1.4274832e-05,,,,,,,
stage2_adamw,72,0.04427468,0.04895666,0.03519399,0.03890548,0.18161375,0.20102372,1.3709591e-05,,,,,,,
stage2_adamw,73,0.04367463,0.05119062,0.03468880,0.04094766,0.17971658,0.20485917,1.315796e-05,,,,,,,
stage2_adamw,74,0.05446227,0.05448731,0.04529661,0.04512390,0.18331323,0.18726807,1.2620483e-05,,,,,,,
stage2_adamw,75,0.04676469,0.05562717,0.03783303,0.04614044,0.17863325,0.18973458,1.209769e-05,,,,,,,
stage2_adamw,76,0.04472624,0.05096267,0.03575298,0.04158448,0.17946524,0.18756377,1.1590097e-05,,,,,,,
stage2_adamw,77,0.04345448,0.04909757,0.03471311,0.03977802,0.17482732,0.18639096,1.1098206e-05,,,,,,,
stage2_adamw,78,0.04280630,0.05109425,0.03419490,0.04188756,0.17222808,0.18413376,1.0622501e-05,,,,,,,
stage2_adamw,79,0.04483082,0.05077829,0.03591060,0.04144725,0.17840426,0.18662084,1.0163452e-05,,,,,,,
stage2_adamw,80,0.04167522,0.04828424,0.03283314,0.03898837,0.17684146,0.18591732,9.7215122e-06,,,,,,,
stage2_adamw,81,0.04332554,0.04923159,0.03444851,0.04014396,0.17754067,0.18175248,9.2971176e-06,,,,,,,
stage2_adamw,82,0.04076339,0.04933179,0.03195103,0.04007837,0.17624714,0.18506840,8.8906871e-06,,,,,,,
stage2_adamw,83,0.03960368,0.04747251,0.03090408,0.03816312,0.17399187,0.18618782,8.5026217e-06,,,,,,,
stage2_adamw,84,0.03967625,0.05040372,0.03105228,0.04113299,0.17247952,0.18541459,8.1333044e-06,,,,,,,
stage2_adamw,85,0.03915940,0.04693353,0.03052158,0.03767100,0.17275641,0.18525072,7.7830997e-06,,,,,,,
stage2_adamw,86,0.03858506,0.04892593,0.02999228,0.03968537,0.17185576,0.18481117,7.4523532e-06,,,,,,,
stage2_adamw,87,0.03981581,0.04786967,0.03119546,0.03872305,0.17240688,0.18293239,7.1413913e-06,,,,,,,
stage2_adamw,88,0.03826789,0.04530205,0.02958385,0.03610414,0.17368070,0.18395810,6.8505209e-06,,,,,,,
stage2_adamw,89,0.03894078,0.04458841,0.03020689,0.03541326,0.17467773,0.18350299,6.5800291e-06,,,,,,,
stage2_adamw,90,0.03887063,0.04633928,0.03007918,0.03685960,0.17582903,0.18959355,6.3301827e-06,,,,,,,
stage2_adamw,91,0.03679569,0.04578994,0.02809223,0.03644658,0.17406923,0.18686723,6.1012284e-06,,,,,,,
stage2_adamw,92,0.03629264,0.04637973,0.02754591,0.03695411,0.17493471,0.18851246,5.8933921e-06,,,,,,,
stage2_adamw,93,0.03686831,0.04567924,0.02807872,0.03630374,0.17579177,0.18750998,5.7068789e-06,,,,,,,
stage2_adamw,94,0.03528687,0.04510430,0.02658330,0.03582849,0.17407154,0.18551635,5.5418729e-06,,,,,,,
stage2_adamw,95,0.03521009,0.04523554,0.02649218,0.03601797,0.17435828,0.18435135,5.3985369e-06,,,,,,,
stage2_adamw,96,0.03502927,0.04552711,0.02633208,0.03627788,0.17394390,0.18498443,5.2770123e-06,,,,,,,
stage2_adamw,97,0.03421629,0.04570268,0.02555333,0.03639162,0.17325934,0.18622117,5.1774192e-06,,,,,,,
stage2_adamw,98,0.03369855,0.04634588,0.02505438,0.03710052,0.17288342,0.18490708,5.0998558e-06,,,,,,,
stage2_adamw,99,0.03435147,0.04686903,0.02570969,0.03755866,0.17283545,0.18620733,5.0443986e-06,,,,,,,
stage2_adamw,100,0.03776359,0.04822160,0.02898379,0.03880990,0.17559601,0.18823397,5.0111024e-06,,,,,,,
