stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.04093240,0.05561615,0.03221194,0.04575645,0.17440909,0.19719399,1e-05,,,,,,,
stage2_adamw,2,0.04371040,0.04801280,0.03488169,0.03854037,0.17657414,0.18944875,9.9921069e-06,,,,,,,
stage2_adamw,3,0.04485642,0.04770194,0.03605623,0.03799488,0.17600376,0.19414117,9.9684588e-06,,,,,,,
stage2_adamw,4,0.04542014,0.04895401,0.03645950,0.03895694,0.17921293,0.19994126,9.929149e-06,,,,,,,
stage2_adamw,5,0.04228193,0.04742684,0.03346153,0.03771592,0.17640811,0.19421844,9.8743326e-06,,,,,,,
stage2_adamw,6,0.03924841,0.04778785,0.03066535,0.03840573,0.17166123,0.18764227,9.8042261e-06,,,,,,,
stage2_adamw,7,0.04002733,0.04346088,0.03139019,0.03430490,0.17274283,0.18311948,9.7191059e-06,,,,,,,
stage2_adamw,8,0.03862691,0.04559578,0.02995858,0.03620285,0.17336659,0.18785860,9.6193082e-06,,,,,,,
stage2_adamw,9,0.03751678,0.04652541,0.02906094,0.03683153,0.16911676,0.19387769,9.5052267e-06,,,,,,,
stage2_adamw,10,0.04069283,0.04483126,0.03204591,0.03504978,0.17293842,0.19562958,9.3773117e-06,,,,,,,
stage2_adamw,11,0.03879793,0.04591467,0.03018638,0.03629227,0.17223094,0.19244791,9.236068e-06,,,,,,,
stage2_adamw,12,0.03559387,0.04550206,0.02711744,0.03609412,0.16952850,0.18815871,9.082053e-06,,,,,,,
stage2_adamw,13,0.03512316,0.04440144,0.02667727,0.03496830,0.16891773,0.18866289,8.9158745e-06,,,,,,,
stage2_adamw,14,0.03606547,0.04515101,0.02766472,0.03591255,0.16801508,0.18476938,8.7381884e-06,,,,,,,
stage2_adamw,15,0.03750339,0.04411501,0.02914579,0.03519583,0.16715208,0.17838352,8.549696e-06,,,,,,,
stage2_adamw,16,0.03502701,0.04596572,0.02667994,0.03670939,0.16694137,0.18512668,8.351141e-06,,,,,,,
stage2_adamw,17,0.03792716,0.04837763,0.02937981,0.03895668,0.17094703,0.18841880,8.1433072e-06,,,,,,,
