stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage1_sgd,1,0.37160853,0.32371105,0.36298913,0.31575819,0.43096974,0.39764270,0.0005,,,,,,,
stage1_sgd,2,0.27749369,0.22064901,0.27055072,0.21410983,0.34714856,0.32695915,0.0005,,,,,,,
stage1_sgd,3,0.20571034,0.21035644,0.19934919,0.20401486,0.31805733,0.31707882,0.0005,,,,,,,
stage1_sgd,4,0.17408312,0.16652949,0.16799640,0.16044343,0.30433601,0.30430309,0.0005,,,,,,,
stage1_sgd,1,0.37160853,0.32371105,0.36298913,0.31575819,0.43096974,0.39764270,0.0005,,,,,,,
stage1_sgd,2,0.27749369,0.22064901,0.27055072,0.21410983,0.34714856,0.32695915,0.0005,,,,,,,
stage1_sgd,3,0.20571034,0.21035644,0.19934919,0.20401486,0.31805733,0.31707882,0.0005,,,,,,,
stage1_sgd,4,0.17408312,0.16652949,0.16799640,0.16044343,0.30433601,0.30430309,0.0005,,,,,,,
stage1_sgd,5,0.16478243,0.19426616,0.15890011,0.18847499,0.29411599,0.28955863,0.0005,,,,,,,
stage1_sgd,6,0.16715981,0.13907741,0.16122831,0.13322385,0.29657468,0.29267798,0.00025,,,,,,,
stage1_sgd,7,0.14745904,0.13356476,0.14174733,0.12775273,0.28558519,0.29060148,0.00025,,,,,,,
stage1_sgd,8,0.13186475,0.12784999,0.12637397,0.12202979,0.27453893,0.29101008,0.00025,,,,,,,
stage1_sgd,9,0.13204348,0.12120106,0.12662046,0.11563156,0.27115076,0.27847510,0.00025,,,,,,,
stage1_sgd,10,0.11828907,0.11185699,0.11300809,0.10612912,0.26404948,0.28639328,0.00025,,,,,,,
stage1_sgd,11,0.11246166,0.11296836,0.10716765,0.10727969,0.26470055,0.28443330,0.00025,,,,,,,
stage1_sgd,12,0.11698448,0.11128455,0.11152146,0.10570585,0.27315077,0.27893516,0.00025,,,,,,,
stage1_sgd,1,0.39132880,0.37260748,0.38234626,0.36378390,0.44912686,0.44117879,0.0005,,,,,,,
stage1_sgd,2,0.35302088,0.32614269,0.34474831,0.31816634,0.41362839,0.39881754,0.0005,,,,,,,
stage1_sgd,3,0.30789105,0.28509406,0.30048606,0.27789110,0.37024973,0.36014828,0.0005,,,,,,,
stage1_sgd,1,0.39132880,0.37260748,0.38234626,0.36378390,0.44912686,0.44117879,0.0005,,,,,,,
stage1_sgd,2,0.35302088,0.32614269,0.34474831,0.31816634,0.41362839,0.39881754,0.0005,,,,,,,
stage1_sgd,3,0.30789105,0.28509406,0.30048606,0.27789110,0.37024973,0.36014828,0.0005,,,,,,,
stage1_sgd,4,0.26216439,0.23598543,0.25543040,0.22940624,0.33669992,0.32895961,0.0005,,,,,,,
stage1_sgd,5,0.20179893,0.19295360,0.19562178,0.18681198,0.30885761,0.30708106,0.0005,,,,,,,
stage1_sgd,6,0.18233247,0.19776400,0.17605646,0.19124223,0.31380040,0.32608830,0.00025,,,,,,,
stage1_sgd,7,0.18395658,0.15960783,0.17773064,0.15355709,0.31129697,0.30253681,0.00025,,,,,,,
stage1_sgd,8,0.15666295,0.15156283,0.15089127,0.14539551,0.28858398,0.30836620,0.00025,,,,,,,
stage1_sgd,9,0.16054266,0.14694379,0.15445630,0.14064738,0.30431770,0.31482012,0.00025,,,,,,,
stage1_sgd,10,0.14589455,0.14950592,0.14000486,0.14328857,0.29448481,0.31086745,0.00025,,,,,,,
stage1_sgd,11,0.14912756,0.15203711,0.14295728,0.14530847,0.30851393,0.33643206,0.00025,,,,,,,
stage1_sgd,12,0.14241779,0.13555237,0.13617571,0.12888591,0.31210432,0.33332290,0.00025,,,,,,,
stage1_sgd,13,0.13621180,0.13014993,0.12999277,0.12362108,0.31095140,0.32644226,0.00025,,,,,,,
stage1_sgd,14,0.18422208,0.28179505,0.17747546,0.27383299,0.33733092,0.39810271,0.00025,,,,,,,
stage1_sgd,15,0.21700276,0.17704567,0.20980659,0.17018703,0.35980858,0.34293185,0.00025,,,,,,,
stage1_sgd,16,0.17208117,0.15845449,0.16563802,0.15202963,0.32215731,0.32124302,0.00025,,,,,,,
stage1_sgd,17,0.17619328,0.15208574,0.16980949,0.14570389,0.31918920,0.31909270,0.00025,,,,,,,
stage1_sgd,18,0.15112717,0.14067933,0.14481783,0.13425300,0.31546717,0.32131672,0.00025,,,,,,,
stage1_sgd,19,0.14843365,0.14222583,0.14201295,0.13571678,0.32103530,0.32545258,0.00025,,,,,,,
stage1_sgd,20,0.13905487,0.12889728,0.13264959,0.12256034,0.32026407,0.31684667,0.00025,,,,,,,
stage1_sgd,21,0.13621407,0.13953003,0.12998915,0.13339150,0.31124576,0.30692621,0.00025,,,,,,,
stage1_sgd,22,0.14763806,0.13343521,0.14139282,0.12704709,0.31226204,0.31940608,0.00025,,,,,,,
stage1_sgd,23,0.13375090,0.12337968,0.12752394,0.11707601,0.31134795,0.31518358,0.00025,,,,,,,
stage1_sgd,24,0.13869474,0.12534489,0.13245718,0.11905731,0.31187845,0.31437889,0.00025,,,,,,,
stage1_sgd,25,0.12536027,0.13133213,0.11925822,0.12528297,0.30510243,0.30245802,0.00025,,,,,,,
stage1_sgd,26,0.11837743,0.11416660,0.11223374,0.10795792,0.30718477,0.31043393,0.000125,,,,,,,
stage1_sgd,27,0.11786028,0.11172350,0.11176281,0.10544940,0.30487352,0.31370520,0.000125,,,,,,,
stage1_sgd,28,0.11333287,0.10808600,0.10725899,0.10201688,0.30369408,0.30345607,0.000125,,,,,,,
stage1_sgd,29,0.11383067,0.10526342,0.10781278,0.09908794,0.30089452,0.30877394,0.000125,,,,,,,
stage1_sgd,30,0.10956283,0.10980716,0.10356189,0.10388659,0.30004693,0.29602867,0.000125,,,,,,,
stage1_sgd,31,0.14749126,0.12774884,0.14137802,0.12146721,0.30566164,0.31408160,0.000125,,,,,,,
stage1_sgd,32,0.12174066,0.11210402,0.11569183,0.10583041,0.30244188,0.31368039,0.000125,,,,,,,
stage1_sgd,33,0.11130534,0.10291075,0.10535577,0.09665926,0.29747887,0.31257419,0.000125,,,,,,,
stage1_sgd,34,0.10901316,0.10733811,0.10311143,0.10148373,0.29508664,0.29271882,0.000125,,,,,,,
stage1_sgd,35,0.10636134,0.11965157,0.10053159,0.11366938,0.29148760,0.29910985,0.000125,,,,,,,
stage1_sgd,36,0.15233780,0.13291687,0.14635111,0.12678743,0.29933458,0.30647179,0.000125,,,,,,,
stage1_sgd,37,0.12218157,0.11253844,0.11616003,0.10634496,0.30107702,0.30967397,0.000125,,,,,,,
