stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.16753258,0.15314240,0.15258489,0.13697833,0.29895388,0.32328131,5e-05,,,,,,,
stage2_adamw,2,0.13279811,0.12071376,0.11822881,0.10693954,0.29138607,0.27548454,4.9988898e-05,,,,,,,
stage2_adamw,3,0.12326776,0.14192724,0.10968363,0.12534047,0.27168252,0.33173534,4.9955601e-05,,,,,,,
stage2_adamw,4,0.13228068,0.11769252,0.11623691,0.10159044,0.32087540,0.32204176,4.9900144e-05,,,,,,,
stage2_adamw,5,0.10453149,0.11348437,0.09008628,0.09776938,0.28890420,0.31429978,4.9822581e-05,,,,,,,
stage2_adamw,6,0.09851071,0.12844482,0.08482211,0.11404330,0.27377215,0.28803044,4.9722988e-05,,,,,,,
stage2_adamw,7,0.11841479,0.09706138,0.10431517,0.08370902,0.28199257,0.26704729,4.9601463e-05,,,,,,,
stage2_adamw,8,0.10579273,0.14729564,0.09226764,0.12972056,0.27050189,0.35150166,4.9458127e-05,,,,,,,
stage2_adamw,9,0.10651751,0.09080772,0.09182620,0.07600009,0.29382622,0.29615255,4.9293121e-05,,,,,,,
stage2_adamw,10,0.08899794,0.08648710,0.07628976,0.07289399,0.25416348,0.27186213,4.9106608e-05,,,,,,,
stage2_adamw,11,0.08595619,0.08523020,0.07340275,0.07097301,0.25106880,0.28514380,4.8898772e-05,,,,,,,
stage2_adamw,12,0.09980241,0.08713405,0.08707239,0.07349240,0.25460044,0.27283309,4.8669817e-05,,,,,,,
stage2_adamw,13,0.08089678,0.09817159,0.06833557,0.08407340,0.25122422,0.28196384,4.8419971e-05,,,,,,,
stage2_adamw,14,0.07947165,0.08213146,0.06672726,0.06836571,0.25488769,0.27531489,4.8149479e-05,,,,,,,
stage2_adamw,15,0.10764446,0.17431273,0.09311979,0.15871340,0.29049341,0.31198658,4.7858609e-05,,,,,,,
stage2_adamw,16,0.11946466,0.10360764,0.10705843,0.09014232,0.24812470,0.26930651,4.7547647e-05,,,,,,,
stage2_adamw,17,0.09537014,0.10358174,0.08256059,0.08938209,0.25619086,0.28399288,4.72169e-05,,,,,,,
stage2_adamw,18,0.09150966,0.10350717,0.07820541,0.08788971,0.26608496,0.31234915,4.6866696e-05,,,,,,,
stage2_adamw,19,0.08451315,0.08772024,0.07217527,0.07434236,0.24675764,0.26755765,4.6497378e-05,,,,,,,
stage2_adamw,20,0.07478388,0.07342765,0.06384122,0.06170306,0.21885318,0.23449177,4.6109313e-05,,,,,,,
stage2_adamw,21,0.07367433,0.08301480,0.06291458,0.07163712,0.21519505,0.22755372,4.5702882e-05,,,,,,,
stage2_adamw,22,0.07446418,0.07956083,0.06378050,0.06747704,0.21367364,0.24167583,4.5278488e-05,,,,,,,
stage2_adamw,23,0.08414581,0.09342089,0.07380992,0.08158712,0.20671798,0.23667535,4.4836548e-05,,,,,,,
stage2_adamw,24,0.07410753,0.07103878,0.06362842,0.06055017,0.20958224,0.20977210,4.4377499e-05,,,,,,,
stage2_adamw,25,0.07535213,0.08076403,0.06524201,0.07024873,0.20220224,0.21030592,4.3901794e-05,,,,,,,
stage2_adamw,26,0.07737044,0.09441678,0.06756246,0.08410570,0.19615968,0.20622168,4.3409903e-05,,,,,,,
stage2_adamw,27,0.08037149,0.07301091,0.07020323,0.06279089,0.20336511,0.20440046,4.290231e-05,,,,,,,
stage2_adamw,28,0.06622743,0.06393539,0.05661616,0.05431208,0.19222544,0.19246608,4.2379517e-05,,,,,,,
stage2_adamw,29,0.08102536,0.07757107,0.07007825,0.06649139,0.21894210,0.22159373,4.184204e-05,,,,,,,
stage2_adamw,30,0.09084081,0.07456020,0.07789018,0.06247815,0.25901244,0.24164094,4.1290409e-05,,,,,,,
stage2_adamw,31,0.07346748,0.08087450,0.06139589,0.06830815,0.24143182,0.25132701,4.0725168e-05,,,,,,,
stage2_adamw,32,0.06953264,0.09028863,0.05798778,0.08065595,0.23089726,0.19265369,4.0146876e-05,,,,,,,
stage2_adamw,33,0.06432966,0.06394390,0.05447092,0.05404992,0.19717468,0.19787962,3.9556103e-05,,,,,,,
stage2_adamw,34,0.06012990,0.06375455,0.05035433,0.05381983,0.19551141,0.19869435,3.8953432e-05,,,,,,,
stage2_adamw,35,0.06411267,0.07378332,0.05305605,0.06113906,0.22113225,0.25288502,3.8339458e-05,,,,,,,
stage2_adamw,36,0.07921205,0.06861303,0.06621742,0.05627966,0.25989266,0.24666732,3.7714786e-05,,,,,,,
stage2_adamw,37,0.06808070,0.06076504,0.05632497,0.05000876,0.23511457,0.21512558,3.7080034e-05,,,,,,,
stage2_adamw,38,0.06622887,0.08014602,0.05577079,0.07068804,0.20916143,0.18915965,3.6435828e-05,,,,,,,
stage2_adamw,39,0.06706462,0.05909694,0.05796684,0.04982886,0.18195569,0.18536170,3.5782802e-05,,,,,,,
stage2_adamw,40,0.06376630,0.06383804,0.05509273,0.05423326,0.17347142,0.19209569,3.5121603e-05,,,,,,,
stage2_adamw,41,0.07078376,0.06659774,0.06087469,0.05722673,0.19818146,0.18742015,3.4452882e-05,,,,,,,
stage2_adamw,42,0.06563031,0.05521619,0.05525959,0.04516620,0.20741439,0.20099973,3.37773e-05,,,,,,,
stage2_adamw,43,0.06007095,0.05988175,0.04954377,0.05022880,0.21054355,0.19305889,3.3095522e-05,,,,,,,
stage2_adamw,44,0.06692445,0.08310717,0.05708613,0.07193118,0.19676634,0.22351972,3.2408223e-05,,,,,,,
stage2_adamw,45,0.06434511,0.07179443,0.05441832,0.06061826,0.19853592,0.22352346,3.171608e-05,,,,,,,
stage2_adamw,46,0.06491998,0.08863411,0.05527151,0.07710796,0.19296948,0.23052290,3.1019775e-05,,,,,,,
stage2_adamw,47,0.06601449,0.06971755,0.05615559,0.05936911,0.19717788,0.20696879,3.0319998e-05,,,,,,,
stage2_adamw,48,0.06167323,0.05845573,0.05213350,0.04871145,0.19079454,0.19488574,2.9617437e-05,,,,,,,
stage2_adamw,49,0.05252968,0.05690736,0.04363328,0.04702541,0.17792807,0.19763886,2.8912787e-05,,,,,,,
stage2_adamw,50,0.05124219,0.05593661,0.04224158,0.04623050,0.18001220,0.19412224,2.8206742e-05,,,,,,,
stage2_adamw,51,0.05882093,0.07448197,0.04981451,0.06355722,0.18012837,0.21849502,2.75e-05,,,,,,,
stage2_adamw,52,0.05708910,0.05998707,0.04794166,0.04995021,0.18294882,0.20073709,2.6793258e-05,,,,,,,
stage2_adamw,53,0.05383862,0.05481432,0.04514654,0.04517452,0.17384165,0.19279594,2.6087213e-05,,,,,,,
stage2_adamw,54,0.04896943,0.05339805,0.04049143,0.04420006,0.16955999,0.18395981,2.5382563e-05,,,,,,,
stage2_adamw,55,0.04991042,0.05581089,0.04168060,0.04621853,0.16459657,0.19184712,2.4680002e-05,,,,,,,
stage2_adamw,56,0.04913345,0.05070973,0.04061707,0.04096540,0.17032752,0.19488654,2.3980225e-05,,,,,,,
stage2_adamw,57,0.05192238,0.06350174,0.04250866,0.05197880,0.18827445,0.23045894,2.328392e-05,,,,,,,
stage2_adamw,58,0.04911951,0.05309533,0.04067355,0.04393018,0.16891925,0.18330309,2.2591777e-05,,,,,,,
stage2_adamw,59,0.04548384,0.04851320,0.03720452,0.03935586,0.16558640,0.18314674,2.1904478e-05,,,,,,,
stage2_adamw,60,0.04409850,0.05070085,0.03602267,0.04146867,0.16151667,0.18464371,2.12227e-05,,,,,,,
stage2_adamw,61,0.04239826,0.05135828,0.03429760,0.04231233,0.16201334,0.18091898,2.0547118e-05,,,,,,,
stage2_adamw,62,0.04741909,0.05246169,0.03898503,0.04348690,0.16868120,0.17949588,1.9878397e-05,,,,,,,
stage2_adamw,63,0.04947523,0.04921715,0.04134745,0.04070926,0.16255564,0.17015764,1.9217198e-05,,,,,,,
stage2_adamw,64,0.04346714,0.05498922,0.03577641,0.04621782,0.15381463,0.17542804,1.8564172e-05,,,,,,,
stage2_adamw,65,0.05138241,0.05450703,0.04316920,0.04454379,0.16426429,0.19926482,1.7919966e-05,,,,,,,
stage2_adamw,66,0.04875669,0.05225171,0.03999874,0.04233914,0.17515908,0.19825152,1.7285214e-05,,,,,,,
stage2_adamw,67,0.04462140,0.05095273,0.03615078,0.04081626,0.16941252,0.20272934,1.6660542e-05,,,,,,,
stage2_adamw,68,0.04331405,0.05110579,0.03493702,0.04132656,0.16754062,0.19558448,1.6046568e-05,,,,,,,
stage2_adamw,69,0.04299766,0.05135234,0.03478168,0.04195495,0.16431954,0.18794775,1.5443897e-05,,,,,,,
stage2_adamw,70,0.04215968,0.05052504,0.03406308,0.04185244,0.16193204,0.17345208,1.4853124e-05,,,,,,,
stage2_adamw,71,0.03931131,0.04586386,0.03174292,0.03765827,0.15136789,0.16411192,1.4274832e-05,,,,,,,
stage2_adamw,72,0.03938385,0.04860981,0.03186137,0.04018467,0.15044957,0.16850289,1.3709591e-05,,,,,,,
stage2_adamw,73,0.03957491,0.04886257,0.03196676,0.04064110,0.15216285,0.16442938,1.315796e-05,,,,,,,
stage2_adamw,74,0.04067738,0.04494077,0.03324201,0.03693960,0.14870728,0.16002343,1.2620483e-05,,,,,,,
stage2_adamw,75,0.04756964,0.06570673,0.03968368,0.05663963,0.15771922,0.18134203,1.209769e-05,,,,,,,
stage2_adamw,76,0.05141861,0.05457807,0.04322407,0.04580165,0.16389081,0.17552833,1.1590097e-05,,,,,,,
stage2_adamw,77,0.04194149,0.04794629,0.03423896,0.03958000,0.15405048,0.16732573,1.1098206e-05,,,,,,,
stage2_adamw,78,0.03921497,0.04780613,0.03178920,0.03992889,0.14851555,0.15754493,1.0622501e-05,,,,,,,
stage2_adamw,79,0.03951286,0.04500361,0.03216996,0.03711218,0.14685805,0.15782860,1.0163452e-05,,,,,,,
stage2_adamw,80,0.04095939,0.04555194,0.03355122,0.03765687,0.14816349,0.15790135,9.7215122e-06,,,,,,,
stage2_adamw,81,0.03811491,0.04412341,0.03080185,0.03619314,0.14626120,0.15860547,9.2971176e-06,,,,,,,
stage2_adamw,82,0.04032654,0.04558648,0.03302199,0.03766670,0.14609105,0.15839549,8.8906871e-06,,,,,,,
stage2_adamw,83,0.04079504,0.04776102,0.03346884,0.03993212,0.14652389,0.15657785,8.5026217e-06,,,,,,,
stage2_adamw,84,0.03934062,0.04684291,0.03206000,0.03895907,0.14561234,0.15767693,8.1333044e-06,,,,,,,
stage2_adamw,85,0.03704833,0.04542816,0.02971681,0.03741013,0.14663033,0.16036066,7.7830997e-06,,,,,,,
stage2_adamw,86,0.03736952,0.04431686,0.03002546,0.03621930,0.14688103,0.16195127,7.4523532e-06,,,,,,,
stage2_adamw,87,0.03579000,0.04476333,0.02846757,0.03679169,0.14644847,0.15943271,7.1413913e-06,,,,,,,
stage2_adamw,88,0.03493400,0.04434271,0.02777104,0.03643992,0.14325933,0.15805573,6.8505209e-06,,,,,,,
stage2_adamw,89,0.03527923,0.04376021,0.02807969,0.03578870,0.14399078,0.15943017,6.5800291e-06,,,,,,,
stage2_adamw,90,0.03309404,0.04470267,0.02591378,0.03667726,0.14360509,0.16050825,6.3301827e-06,,,,,,,
stage2_adamw,91,0.03385980,0.04441226,0.02662688,0.03645449,0.14465844,0.15915531,6.1012284e-06,,,,,,,
stage2_adamw,92,0.03238848,0.04505500,0.02520014,0.03717356,0.14376671,0.15762875,5.8933921e-06,,,,,,,
stage2_adamw,93,0.03209312,0.04510926,0.02497109,0.03706986,0.14244054,0.16078791,5.7068789e-06,,,,,,,
stage2_adamw,94,0.03217259,0.04499477,0.02503133,0.03716326,0.14282516,0.15663022,5.5418729e-06,,,,,,,
stage2_adamw,95,0.03230466,0.04443872,0.02513032,0.03651872,0.14348665,0.15840009,5.3985369e-06,,,,,,,
stage2_adamw,96,0.03171936,0.04426324,0.02466596,0.03646005,0.14106805,0.15606370,5.2770123e-06,,,,,,,
stage2_adamw,97,0.03219144,0.04312648,0.02518752,0.03553398,0.14007845,0.15185006,5.1774192e-06,,,,,,,
stage2_adamw,98,0.03292628,0.04293930,0.02601651,0.03513638,0.13819535,0.15605839,5.0998558e-06,,,,,,,
stage2_adamw,99,0.03419137,0.05582734,0.02719641,0.04716861,0.13989919,0.17317450,5.0443986e-06,,,,,,,
stage2_adamw,100,0.03702097,0.04407194,0.02976300,0.03624811,0.14515951,0.15647665,5.0111024e-06,,,,,,,
