stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.03618833,0.04930108,0.02903080,0.04106490,0.14315068,0.16472359,1e-05,,,,,,,
stage2_adamw,2,0.03726546,0.04318877,0.02996376,0.03491946,0.14603416,0.16538620,9.9921069e-06,,,,,,,
stage2_adamw,3,0.03595378,0.04341780,0.02870077,0.03533534,0.14506019,0.16164918,9.9684588e-06,,,,,,,
stage2_adamw,4,0.03397972,0.04719585,0.02689237,0.03940789,0.14174703,0.15575924,9.929149e-06,,,,,,,
stage2_adamw,5,0.03538168,0.04725178,0.02838661,0.03946757,0.13990146,0.15568414,9.8743326e-06,,,,,,,
stage2_adamw,6,0.03337813,0.04411883,0.02647037,0.03646197,0.13815515,0.15313722,9.8042261e-06,,,,,,,
stage2_adamw,7,0.03265199,0.04302664,0.02560349,0.03539952,0.14096989,0.15254238,9.7191059e-06,,,,,,,
stage2_adamw,8,0.03311498,0.04227493,0.02608739,0.03445394,0.14055181,0.15641967,9.6193082e-06,,,,,,,
stage2_adamw,9,0.03133835,0.04483482,0.02430605,0.03690037,0.14064600,0.15868890,9.5052267e-06,,,,,,,
stage2_adamw,10,0.03161674,0.04260297,0.02459993,0.03474724,0.14033622,0.15711468,9.3773117e-06,,,,,,,
stage2_adamw,11,0.03380061,0.04239957,0.02672236,0.03474733,0.14156504,0.15304477,9.236068e-06,,,,,,,
stage2_adamw,12,0.03180563,0.04631797,0.02464830,0.03812783,0.14314648,0.16380275,9.082053e-06,,,,,,,
stage2_adamw,13,0.03433935,0.04236648,0.02723973,0.03465187,0.14199246,0.15429222,8.9158745e-06,,,,,,,
stage2_adamw,14,0.03102329,0.04297902,0.02399656,0.03533343,0.14053447,0.15291179,8.7381884e-06,,,,,,,
stage2_adamw,15,0.03125750,0.04174746,0.02429699,0.03410822,0.13921009,0.15278472,8.549696e-06,,,,,,,
stage2_adamw,16,0.03646168,0.04172099,0.02927785,0.03404577,0.14367643,0.15350447,8.351141e-06,,,,,,,
stage2_adamw,17,0.03452925,0.04552651,0.02761618,0.03751739,0.13826136,0.16018248,8.1433072e-06,,,,,,,
stage2_adamw,18,0.03459120,0.04822270,0.02776763,0.04061439,0.13647134,0.15216607,7.9270147e-06,,,,,,,
stage2_adamw,19,0.03420526,0.04330495,0.02718124,0.03560872,0.14048037,0.15392457,7.7031172e-06,,,,,,,
stage2_adamw,20,0.03271312,0.04252158,0.02568776,0.03476370,0.14050718,0.15515759,7.4724982e-06,,,,,,,
stage2_adamw,21,0.03084130,0.04315733,0.02389480,0.03536544,0.13893000,0.15583778,7.236068e-06,,,,,,,
stage2_adamw,22,0.02942823,0.04305722,0.02255338,0.03529257,0.13749690,0.15529303,6.9947595e-06,,,,,,,
stage2_adamw,23,0.02983866,0.04426959,0.02298410,0.03670009,0.13709131,0.15138983,6.7495253e-06,,,,,,,
stage2_adamw,24,0.03080150,0.04271127,0.02395176,0.03503556,0.13699493,0.15351404,6.5013329e-06,,,,,,,
stage2_adamw,25,0.03087306,0.04303833,0.02396749,0.03522712,0.13811124,0.15622424,6.2511621e-06,,,,,,,
stage2_adamw,26,0.02922911,0.04301145,0.02235215,0.03520460,0.13753925,0.15613703,6e-06,,,,,,,
stage2_adamw,27,0.02980473,0.04288613,0.02292007,0.03518113,0.13769328,0.15410002,5.7488379e-06,,,,,,,
stage2_adamw,28,0.02908243,0.04095775,0.02224019,0.03321462,0.13684486,0.15486247,5.4986671e-06,,,,,,,
stage2_adamw,29,0.02886862,0.04341378,0.02200550,0.03559510,0.13726232,0.15637364,5.2504747e-06,,,,,,,
stage2_adamw,30,0.03242793,0.04433994,0.02539997,0.03641222,0.14055939,0.15855436,5.0052405e-06,,,,,,,
stage2_adamw,31,0.03151124,0.04437609,0.02447156,0.03638446,0.14079351,0.15983253,4.763932e-06,,,,,,,
stage2_adamw,32,0.03120619,0.04355997,0.02416983,0.03563286,0.14072706,0.15854224,4.5275018e-06,,,,,,,
stage2_adamw,33,0.03060620,0.04438977,0.02359996,0.03635204,0.14012492,0.16075469,4.2968828e-06,,,,,,,
stage2_adamw,34,0.02910933,0.04329788,0.02216287,0.03546372,0.13892913,0.15668325,4.0729853e-06,,,,,,,
stage2_adamw,35,0.02875635,0.04304224,0.02183681,0.03519102,0.13839086,0.15702433,3.8566928e-06,,,,,,,
stage2_adamw,36,0.02872618,0.04207696,0.02188715,0.03434271,0.13678076,0.15468488,3.648859e-06,,,,,,,
