stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage1_sgd,1,0.38933940,0.36055313,0.38035983,0.35191606,0.44897837,0.43185299,0.0005,,,,,,,
stage1_sgd,2,0.35725402,0.32537389,0.34882920,0.31739433,0.42124085,0.39897796,0.0005,,,,,,,
stage1_sgd,3,0.31731126,0.29037102,0.30962118,0.28301541,0.38450391,0.36778055,0.0005,,,,,,,
stage1_sgd,4,0.28539605,0.25971767,0.27825716,0.25282026,0.35694464,0.34487033,0.0005,,,,,,,
stage1_sgd,5,0.28152511,0.29461763,0.27484551,0.28722757,0.33398013,0.36950297,0.0005,,,,,,,
stage1_sgd,6,0.22418688,0.18515080,0.21641442,0.17661948,0.38862323,0.42656596,0.00025,,,,,,,
stage1_sgd,7,0.17826047,0.16836211,0.16972878,0.15953143,0.42658442,0.44153385,0.00025,,,,,,,
stage1_sgd,8,0.17174551,0.16388638,0.16307346,0.15482529,0.43360268,0.45305434,0.00025,,,,,,,
stage1_sgd,9,0.16759288,0.15991713,0.15883549,0.15087607,0.43786965,0.45205258,0.00025,,,,,,,
stage1_sgd,10,0.16390799,0.15576860,0.15515424,0.14675030,0.43768738,0.45091517,0.00025,,,,,,,
stage1_sgd,11,0.16095713,0.15312870,0.15216398,0.14418670,0.43965710,0.44709974,0.00025,,,,,,,
stage1_sgd,12,0.15771505,0.14974922,0.14895765,0.14072377,0.43786997,0.45127235,0.00025,,,,,,,
stage1_sgd,13,0.15526169,0.14910690,0.14653519,0.14019546,0.43632509,0.44557236,0.00025,,,,,,,
stage1_sgd,14,0.15505928,0.14752830,0.14645557,0.13859870,0.43018550,0.44648013,0.00025,,,,,,,
stage1_sgd,15,0.15173137,0.14570064,0.14311243,0.13682835,0.43094677,0.44361443,0.00025,,,,,,,
stage1_sgd,16,0.14956703,0.14351062,0.14101712,0.13474597,0.42749581,0.43823215,0.00025,,,,,,,
stage1_sgd,17,0.14837075,0.14201524,0.13989272,0.13332382,0.42390148,0.43457147,0.00025,,,,,,,
stage1_sgd,18,0.14717989,0.14110762,0.13876159,0.13244393,0.42091500,0.43318461,0.00025,,,,,,,
stage1_sgd,19,0.14560484,0.14143117,0.13720912,0.13279466,0.41978592,0.43182578,0.00025,,,,,,,
stage1_sgd,20,0.14453621,0.13991686,0.13623744,0.13130951,0.41493884,0.43036775,0.00025,,,,,,,
stage1_sgd,21,0.14326726,0.13823871,0.13495521,0.12983023,0.41560249,0.42042393,0.00025,,,,,,,
stage1_sgd,22,0.15145854,0.14265365,0.14304982,0.13402116,0.42043607,0.43162446,0.00025,,,,,,,
stage1_sgd,23,0.14234612,0.13675212,0.13408638,0.12824628,0.41298668,0.42529201,0.00025,,,,,,,
stage1_sgd,24,0.14030210,0.13685478,0.13203207,0.12846924,0.41350116,0.41927709,0.00025,,,,,,,
stage1_sgd,25,0.14378060,0.13562255,0.13569465,0.12726302,0.40429738,0.41797644,0.00025,,,,,,,
stage1_sgd,26,0.13826685,0.13431038,0.13011244,0.12590004,0.40772082,0.42051731,0.000125,,,,,,,
stage1_sgd,27,0.13783944,0.13428448,0.12966825,0.12589453,0.40855933,0.41949743,0.000125,,,,,,,
stage1_sgd,28,0.13731206,0.13326211,0.12915273,0.12485053,0.40796672,0.42057916,0.000125,,,,,,,
stage1_sgd,29,0.13688300,0.13338299,0.12872810,0.12494665,0.40774493,0.42181700,0.000125,,,,,,,
stage1_sgd,30,0.13634729,0.13232384,0.12818738,0.12392003,0.40799561,0.42019063,0.000125,,,,,,,
stage1_sgd,31,0.13579603,0.13202641,0.12764656,0.12365719,0.40747346,0.41846130,0.000125,,,,,,,
stage1_sgd,32,0.13560044,0.13311543,0.12746815,0.12484495,0.40661447,0.41352400,0.000125,,,,,,,
stage1_sgd,33,0.13539059,0.13182359,0.12731221,0.12347398,0.40391931,0.41748070,0.000125,,,,,,,
stage1_sgd,34,0.13472478,0.13127163,0.12664958,0.12293243,0.40375992,0.41696021,0.000125,,,,,,,
stage1_sgd,35,0.13416345,0.13173474,0.12610461,0.12336561,0.40294199,0.41845637,0.000125,,,,,,,
stage1_sgd,36,0.13346375,0.13059098,0.12540409,0.12233157,0.40298297,0.41297060,0.000125,,,,,,,
stage1_sgd,37,0.13276542,0.13065590,0.12471070,0.12227070,0.40273600,0.41926046,0.000125,,,,,,,
stage1_sgd,38,0.13262466,0.13036352,0.12460233,0.12195514,0.40111647,0.42041888,0.000125,,,,,,,
stage1_sgd,39,0.13769138,0.13627516,0.12963862,0.12812219,0.40263820,0.40764850,0.000125,,,,,,,
stage1_sgd,40,0.13398345,0.13007115,0.12601413,0.12181077,0.39846600,0.41301884,0.000125,,,,,,,
stage1_sgd,41,0.13204881,0.12928126,0.12407908,0.12104330,0.39848671,0.41189839,0.000125,,,,,,,
stage1_sgd,42,0.13080152,0.12979639,0.12284840,0.12163198,0.39765613,0.40822046,0.000125,,,,,,,
stage1_sgd,43,0.13078049,0.12984954,0.12283167,0.12154420,0.39744078,0.41526688,0.000125,,,,,,,
stage1_sgd,44,0.13021652,0.12832391,0.12228615,0.12011588,0.39651809,0.41040134,0.000125,,,,,,,
stage1_sgd,45,0.13004797,0.12756274,0.12216300,0.11931947,0.39424883,0.41216335,0.000125,,,,,,,
stage1_sgd,46,0.12999587,0.12729822,0.12206273,0.11906168,0.39665704,0.41182703,0.000125,,,,,,,
stage1_sgd,47,0.12969052,0.12707882,0.12179316,0.11890164,0.39486802,0.40885899,0.000125,,,,,,,
stage1_sgd,48,0.12904942,0.12694447,0.12118222,0.11870979,0.39336022,0.41173411,0.000125,,,,,,,
stage1_sgd,49,0.12913908,0.12720075,0.12123032,0.11896881,0.39543783,0.41159684,0.000125,,,,,,,
stage1_sgd,50,0.12802884,0.12825584,0.12016278,0.12013258,0.39330281,0.40616287,0.000125,,,,,,,
stage1_sgd,51,0.12694812,0.12577206,0.11912598,0.11767586,0.39110698,0.40481011,6.25e-05,,,,,,,
stage1_sgd,52,0.12765469,0.12691474,0.11987352,0.11868709,0.38905840,0.41138223,6.25e-05,,,,,,,
stage1_sgd,53,0.12723551,0.12649130,0.11940406,0.11836404,0.39157247,0.40636294,6.25e-05,,,,,,,
stage1_sgd,54,0.12677354,0.12555297,0.11898201,0.11741517,0.38957663,0.40688998,6.25e-05,,,,,,,
stage1_sgd,55,0.12653979,0.12573042,0.11877127,0.11759108,0.38842602,0.40696738,6.25e-05,,,,,,,
stage1_sgd,56,0.12624195,0.12494466,0.11846702,0.11680840,0.38874679,0.40681297,6.25e-05,,,,,,,
stage1_sgd,57,0.12579642,0.12461767,0.11802358,0.11645338,0.38864188,0.40821462,6.25e-05,,,,,,,
stage1_sgd,58,0.12580004,0.12454248,0.11802386,0.11642132,0.38880864,0.40605796,6.25e-05,,,,,,,
stage1_sgd,59,0.12504750,0.12493169,0.11728511,0.11683686,0.38811977,0.40474141,6.25e-05,,,,,,,
stage1_sgd,60,0.12527153,0.12456143,0.11751048,0.11651176,0.38805274,0.40248367,6.25e-05,,,,,,,
stage1_sgd,61,0.12496965,0.12433515,0.11723252,0.11617375,0.38685636,0.40806980,6.25e-05,,,,,,,
stage1_sgd,62,0.12477270,0.12410853,0.11702993,0.11598661,0.38713835,0.40609583,6.25e-05,,,,,,,
stage1_sgd,63,0.12467703,0.12380721,0.11694384,0.11576501,0.38665965,0.40210974,6.25e-05,,,,,,,
stage1_sgd,64,0.12487053,0.12384880,0.11714807,0.11577228,0.38612314,0.40382577,6.25e-05,,,,,,,
stage1_sgd,65,0.12446258,0.12369521,0.11676301,0.11563263,0.38497875,0.40312908,6.25e-05,,,,,,,
stage1_sgd,66,0.12407370,0.12321208,0.11638336,0.11510523,0.38451702,0.40534280,6.25e-05,,,,,,,
stage1_sgd,67,0.12364775,0.12259609,0.11596301,0.11451637,0.38423682,0.40398587,6.25e-05,,,,,,,
stage1_sgd,68,0.12482571,0.12327553,0.11714904,0.11520758,0.38383380,0.40339733,6.25e-05,,,,,,,
stage1_sgd,69,0.12339056,0.12274512,0.11575346,0.11475101,0.38185477,0.39970513,6.25e-05,,,,,,,
stage1_sgd,70,0.12331382,0.12213749,0.11566013,0.11413018,0.38268458,0.40036550,6.25e-05,,,,,,,
stage1_sgd,71,0.12284858,0.12227196,0.11521995,0.11422211,0.38143178,0.40249272,6.25e-05,,,,,,,
stage1_sgd,72,0.12255323,0.12148637,0.11491427,0.11344234,0.38194796,0.40220154,6.25e-05,,,,,,,
stage1_sgd,73,0.12275713,0.12151533,0.11513146,0.11353239,0.38128348,0.39914728,6.25e-05,,,,,,,
stage1_sgd,74,0.12309338,0.12119708,0.11550516,0.11326143,0.37941116,0.39678222,6.25e-05,,,,,,,
stage1_sgd,75,0.12238551,0.12139526,0.11479264,0.11344417,0.37964359,0.39755443,6.25e-05,,,,,,,
stage1_sgd,76,0.12329749,0.12490400,0.11569438,0.11696474,0.38015525,0.39696318,6.25e-05,,,,,,,
stage1_sgd,77,0.12207106,0.12081906,0.11448599,0.11288042,0.37925387,0.39693199,6.25e-05,,,,,,,
stage1_sgd,78,0.12140503,0.12036095,0.11382353,0.11243999,0.37907501,0.39604791,6.25e-05,,,,,,,
stage1_sgd,79,0.12208972,0.12260641,0.11453138,0.11459894,0.37791726,0.40037359,6.25e-05,,,,,,,
stage1_sgd,80,0.12129402,0.12168093,0.11372995,0.11373662,0.37820347,0.39721551,6.25e-05,,,,,,,
stage1_sgd,81,0.12147643,0.11997038,0.11392435,0.11208217,0.37760435,0.39441063,6.25e-05,,,,,,,
stage1_sgd,82,0.12147884,0.12011029,0.11395365,0.11224164,0.37625927,0.39343251,6.25e-05,,,,,,,
stage1_sgd,83,0.12025632,0.12033654,0.11273996,0.11243079,0.37581834,0.39528752,6.25e-05,,,,,,,
stage1_sgd,84,0.12074920,0.11895354,0.11322782,0.11107861,0.37606924,0.39374653,6.25e-05,,,,,,,
stage1_sgd,85,0.12027575,0.11917438,0.11277806,0.11123997,0.37488440,0.39672008,6.25e-05,,,,,,,
stage1_sgd,86,0.11946596,0.11894011,0.11196483,0.11105653,0.37505650,0.39417920,6.25e-05,,,,,,,
stage1_sgd,87,0.11955455,0.11956309,0.11206838,0.11176306,0.37430888,0.39000108,6.25e-05,,,,,,,
stage1_sgd,88,0.11928050,0.11904092,0.11182804,0.11121953,0.37262303,0.39106934,6.25e-05,,,,,,,
stage1_sgd,89,0.11882370,0.11976099,0.11138359,0.11198708,0.37200524,0.38869544,6.25e-05,,,,,,,
stage1_sgd,90,0.11868539,0.11984916,0.11125746,0.11205254,0.37139659,0.38983080,6.25e-05,,,,,,,
stage1_sgd,91,0.11976859,0.11999480,0.11233120,0.11226013,0.37186954,0.38673364,6.25e-05,,,,,,,
stage1_sgd,92,0.11961174,0.11812390,0.11220382,0.11032271,0.37039601,0.39005952,6.25e-05,,,,,,,
stage1_sgd,93,0.11876021,0.11760338,0.11134550,0.10981611,0.37073548,0.38936378,6.25e-05,,,,,,,
stage1_sgd,94,0.11818473,0.11850794,0.11077341,0.11074911,0.37056630,0.38794178,6.25e-05,,,,,,,
stage1_sgd,95,0.11981558,0.11856200,0.11238295,0.11077828,0.37163189,0.38918612,6.25e-05,,,,,,,
stage1_sgd,96,0.11885425,0.12203503,0.11143581,0.11434697,0.37092198,0.38440280,6.25e-05,,,,,,,
stage1_sgd,97,0.11879281,0.11696161,0.11140906,0.10919578,0.36918752,0.38829181,6.25e-05,,,,,,,
