stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.23116765,0.15178918,0.21629727,0.13462369,0.29740747,0.34330981,5e-05,,,,,,,
stage2_adamw,2,0.15319870,0.14325181,0.13582668,0.12690367,0.34744041,0.32696291,4.9988898e-05,,,,,,,
stage2_adamw,3,0.14061325,0.14142185,0.12379303,0.12503829,0.33640447,0.32767104,4.9955601e-05,,,,,,,
stage2_adamw,4,0.13431437,0.13817365,0.11808226,0.12203476,0.32464223,0.32277773,4.9900144e-05,,,,,,,
stage2_adamw,5,0.13331023,0.12529013,0.11685561,0.10868610,0.32909242,0.33208054,4.9822581e-05,,,,,,,
stage2_adamw,6,0.12695366,0.12962922,0.11097048,0.11402814,0.31966342,0.31202164,4.9722988e-05,,,,,,,
stage2_adamw,7,0.11947931,0.11672892,0.10420948,0.10137326,0.30539651,0.30711306,4.9601463e-05,,,,,,,
stage2_adamw,8,0.12258717,0.11607859,0.10709601,0.10059269,0.30982321,0.30971790,4.9458127e-05,,,,,,,
stage2_adamw,9,0.11231529,0.11244126,0.09735293,0.09824982,0.29924721,0.28382879,4.9293121e-05,,,,,,,
stage2_adamw,10,0.11113735,0.12138540,0.09649606,0.10695135,0.29282584,0.28868114,4.9106608e-05,,,,,,,
stage2_adamw,11,0.10739894,0.11039028,0.09314949,0.09626445,0.28498894,0.28251664,4.8898772e-05,,,,,,,
stage2_adamw,12,0.10488322,0.11047298,0.09089759,0.09628352,0.27971258,0.28378922,4.8669817e-05,,,,,,,
stage2_adamw,13,0.10269377,0.10074799,0.08896466,0.08755335,0.27458211,0.26389281,4.8419971e-05,,,,,,,
stage2_adamw,14,0.10305768,0.10740734,0.08940439,0.09430542,0.27306579,0.26203849,4.8149479e-05,,,,,,,
stage2_adamw,15,0.10596001,0.10132746,0.09193214,0.08825624,0.28055746,0.26142430,4.7858609e-05,,,,,,,
stage2_adamw,16,0.09703755,0.09223962,0.08391610,0.07924002,0.26242899,0.25999203,4.7547647e-05,,,,,,,
stage2_adamw,17,0.11266960,0.12059170,0.09868227,0.10601647,0.27974641,0.29150458,4.72169e-05,,,,,,,
stage2_adamw,18,0.11193936,0.09986389,0.09800537,0.08606334,0.27867991,0.27601094,4.6866696e-05,,,,,,,
stage2_adamw,19,0.10107494,0.09252461,0.08744965,0.07953836,0.27250579,0.25972505,4.6497378e-05,,,,,,,
stage2_adamw,20,0.09767302,0.10346286,0.08400146,0.09004418,0.27343110,0.26837377,4.6109313e-05,,,,,,,
stage2_adamw,21,0.10115585,0.10205226,0.08785297,0.08889155,0.26605765,0.26321414,4.5702882e-05,,,,,,,
stage2_adamw,22,0.09429284,0.08985245,0.08127691,0.07654007,0.26031855,0.26624767,4.5278488e-05,,,,,,,
stage2_adamw,23,0.09654629,0.09250442,0.08358048,0.07946809,0.25931612,0.26072654,4.4836548e-05,,,,,,,
stage2_adamw,24,0.08777389,0.09194495,0.07526884,0.07945238,0.25010089,0.24985156,4.4377499e-05,,,,,,,
stage2_adamw,25,0.08613895,0.08608122,0.07374543,0.07378988,0.24787026,0.24582693,4.3901794e-05,,,,,,,
stage2_adamw,26,0.08855005,0.08805739,0.07583585,0.07484889,0.25428396,0.26417000,4.3409903e-05,,,,,,,
stage2_adamw,27,0.08718809,0.09152344,0.07484599,0.07916428,0.24684193,0.24718320,4.290231e-05,,,,,,,
stage2_adamw,28,0.08714369,0.08482459,0.07490709,0.07224856,0.24473202,0.25152044,4.2379517e-05,,,,,,,
stage2_adamw,29,0.08428099,0.08575903,0.07246839,0.07371022,0.23625193,0.24097609,4.184204e-05,,,,,,,
stage2_adamw,30,0.08227132,0.08739244,0.07033938,0.07495311,0.23863874,0.24878653,4.1290409e-05,,,,,,,
stage2_adamw,31,0.08645330,0.09106568,0.07423431,0.07800375,0.24437969,0.26123855,4.0725168e-05,,,,,,,
stage2_adamw,32,0.09990755,0.12090235,0.08712590,0.10583696,0.25563285,0.30130786,4.0146876e-05,,,,,,,
stage2_adamw,33,0.09092716,0.09312810,0.07830791,0.08114723,0.25238500,0.23961739,3.9556103e-05,,,,,,,
stage2_adamw,34,0.08300630,0.09203734,0.07100933,0.07992620,0.23993938,0.24222296,3.8953432e-05,,,,,,,
stage2_adamw,35,0.08636743,0.09014726,0.07488657,0.07807347,0.22961722,0.24147587,3.8339458e-05,,,,,,,
stage2_adamw,36,0.08459753,0.09341613,0.07269728,0.08127148,0.23800490,0.24289311,3.7714786e-05,,,,,,,
stage2_adamw,37,0.07975327,0.09083772,0.06800280,0.07893190,0.23500952,0.23811630,3.7080034e-05,,,,,,,
stage2_adamw,38,0.09840693,0.08997199,0.08575039,0.07782460,0.25313077,0.24294771,3.6435828e-05,,,,,,,
stage2_adamw,39,0.09053261,0.08887347,0.07778421,0.07584416,0.25496803,0.26058624,3.5782802e-05,,,,,,,
stage2_adamw,40,0.09116406,0.09575663,0.07842044,0.08270653,0.25487227,0.26100193,3.5121603e-05,,,,,,,
stage2_adamw,41,0.08419326,0.07845490,0.07183970,0.06617535,0.24707116,0.24559099,3.4452882e-05,,,,,,,
stage2_adamw,42,0.07652220,0.08463580,0.06479382,0.07197973,0.23456758,0.25312141,3.37773e-05,,,,,,,
stage2_adamw,43,0.07670079,0.07806926,0.06544583,0.06624793,0.22509919,0.23642671,3.3095522e-05,,,,,,,
stage2_adamw,44,0.07455416,0.08693461,0.06315443,0.07450724,0.22799459,0.24854748,3.2408223e-05,,,,,,,
stage2_adamw,45,0.07466289,0.08466453,0.06297429,0.07189044,0.23377192,0.25548172,3.171608e-05,,,,,,,
stage2_adamw,46,0.07378396,0.08491783,0.06229867,0.07256863,0.22970570,0.24698392,3.1019775e-05,,,,,,,
stage2_adamw,47,0.06615951,0.07532692,0.05519531,0.06406963,0.21928384,0.22514581,3.0319998e-05,,,,,,,
stage2_adamw,48,0.07263409,0.07480634,0.06142762,0.06321992,0.22412950,0.23172833,2.9617437e-05,,,,,,,
stage2_adamw,49,0.07339580,0.07165410,0.06220022,0.06024087,0.22391173,0.22826467,2.8912787e-05,,,,,,,
stage2_adamw,50,0.06700581,0.07241073,0.05612088,0.06109286,0.21769879,0.22635734,2.8206742e-05,,,,,,,
stage2_adamw,51,0.06775271,0.07207989,0.05696763,0.06097301,0.21570157,0.22213752,2.75e-05,,,,,,,
stage2_adamw,52,0.06508952,0.07416821,0.05437614,0.06240561,0.21426773,0.23525202,2.6793258e-05,,,,,,,
stage2_adamw,53,0.06852616,0.07171739,0.05766008,0.06025647,0.21732160,0.22921828,2.6087213e-05,,,,,,,
stage2_adamw,54,0.06059510,0.07165862,0.05026377,0.06039148,0.20662660,0.22534264,2.5382563e-05,,,,,,,
