stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.04490617,0.06163822,0.03622363,0.05172715,0.17365072,0.19822139,1e-05,,,,,,,
stage2_adamw,2,0.05155829,0.06526316,0.04270562,0.05535662,0.17705326,0.19813095,9.9921069e-06,,,,,,,
stage2_adamw,3,0.04696247,0.06652507,0.03830853,0.05672618,0.17307870,0.19597784,9.9684588e-06,,,,,,,
stage2_adamw,4,0.04862895,0.06371868,0.03984267,0.05366991,0.17572567,0.20097535,9.929149e-06,,,,,,,
stage2_adamw,5,0.04806958,0.06285334,0.03908443,0.05281966,0.17970293,0.20067372,9.8743326e-06,,,,,,,
stage2_adamw,6,0.04572349,0.06698527,0.03706855,0.05671774,0.17309886,0.20535075,9.8042261e-06,,,,,,,
stage2_adamw,7,0.04763672,0.06078037,0.03882808,0.05076449,0.17617296,0.20031764,9.7191059e-06,,,,,,,
stage2_adamw,8,0.04449260,0.06170444,0.03588576,0.05156322,0.17213676,0.20282446,9.6193082e-06,,,,,,,
stage2_adamw,9,0.04302286,0.06108766,0.03451429,0.05112011,0.17017132,0.19935106,9.5052267e-06,,,,,,,
stage2_adamw,10,0.04222029,0.06191048,0.03376596,0.05185919,0.16908651,0.20102588,9.3773117e-06,,,,,,,
stage2_adamw,11,0.04040027,0.06091050,0.03198319,0.05100475,0.16834155,0.19811498,9.236068e-06,,,,,,,
stage2_adamw,12,0.04001403,0.06183026,0.03163589,0.05191297,0.16756269,0.19834585,9.082053e-06,,,,,,,
stage2_adamw,13,0.04354184,0.06154961,0.03509601,0.05154011,0.16891662,0.20018989,8.9158745e-06,,,,,,,
stage2_adamw,14,0.04213544,0.06283971,0.03370831,0.05280409,0.16854249,0.20071250,8.7381884e-06,,,,,,,
stage2_adamw,15,0.04100305,0.06305620,0.03262121,0.05301548,0.16763684,0.20081448,8.549696e-06,,,,,,,
stage2_adamw,16,0.04051914,0.06259939,0.03209525,0.05264616,0.16847764,0.19906469,8.351141e-06,,,,,,,
stage2_adamw,17,0.03897944,0.06182479,0.03066730,0.05186893,0.16624275,0.19911711,8.1433072e-06,,,,,,,
