stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage1_sgd,1,0.38901936,0.35987455,0.38003185,0.35122057,0.44937563,0.43269909,0.0005,,,,,,,
stage1_sgd,2,0.35535489,0.32232488,0.34690596,0.31430955,0.42244624,0.40076647,0.0005,,,,,,,
stage1_sgd,3,0.31051250,0.28278166,0.30278947,0.27542476,0.38615139,0.36784504,0.0005,,,,,,,
stage1_sgd,4,0.27175824,0.24840817,0.26467693,0.24180441,0.35406572,0.33018781,0.0005,,,,,,,
stage1_sgd,5,0.21325187,0.24983587,0.20726167,0.24307362,0.29951007,0.33811266,0.0005,,,,,,,
stage1_sgd,6,0.16965483,0.16234805,0.16361843,0.15585297,0.30181979,0.32475408,0.00025,,,,,,,
stage1_sgd,7,0.14936274,0.14579537,0.14319912,0.13951847,0.30818102,0.31384514,0.00025,,,,,,,
stage1_sgd,8,0.14354880,0.13934560,0.13723801,0.13297264,0.31553976,0.31864786,0.00025,,,,,,,
stage1_sgd,9,0.14019659,0.14008558,0.13380880,0.13348100,0.31938935,0.33022886,0.00025,,,,,,,
stage1_sgd,10,0.13982824,0.13467575,0.13337999,0.12820515,0.32241266,0.32353015,0.00025,,,,,,,
stage1_sgd,11,0.13363751,0.13130219,0.12713469,0.12470636,0.32514107,0.32979144,0.00025,,,,,,,
stage1_sgd,12,0.13294785,0.12868079,0.12642446,0.12222102,0.32616964,0.32298826,0.00025,,,,,,,
stage1_sgd,13,0.12826187,0.12701843,0.12170180,0.12047492,0.32800346,0.32717568,0.00025,,,,,,,
stage1_sgd,14,0.12763091,0.12740439,0.12103699,0.12080290,0.32969642,0.33007432,0.00025,,,,,,,
stage1_sgd,15,0.12470758,0.12160474,0.11805271,0.11496976,0.33274356,0.33174871,0.00025,,,,,,,
stage1_sgd,16,0.12470581,0.12968812,0.11806855,0.12299208,0.33186305,0.33480218,0.00025,,,,,,,
stage1_sgd,17,0.12489398,0.12030389,0.11825687,0.11351492,0.33185561,0.33944872,0.00025,,,,,,,
stage1_sgd,18,0.12275365,0.12072778,0.11611022,0.11407846,0.33217114,0.33246573,0.00025,,,,,,,
stage1_sgd,19,0.15946445,0.12460713,0.15243024,0.11772692,0.35171013,0.34401049,0.00025,,,,,,,
stage1_sgd,20,0.12456023,0.11983091,0.11786263,0.11303467,0.33488045,0.33981194,0.00025,,,,,,,
stage1_sgd,21,0.11945049,0.11563262,0.11276195,0.10896329,0.33442717,0.33346641,0.00025,,,,,,,
stage1_sgd,22,0.11781536,0.11603156,0.11120986,0.10946902,0.33027517,0.32812714,0.00025,,,,,,,
stage1_sgd,23,0.11752510,0.12325885,0.11092893,0.11672957,0.32980896,0.32646417,0.00025,,,,,,,
stage1_sgd,24,0.11843377,0.12625308,0.11186105,0.11979754,0.32863594,0.32277689,0.00025,,,,,,,
stage1_sgd,25,0.12473406,0.11882734,0.11816697,0.11215870,0.32835461,0.33343212,0.00025,,,,,,,
stage1_sgd,26,0.11648510,0.11448799,0.10990884,0.10787672,0.32881329,0.33056364,0.000125,,,,,,,
stage1_sgd,27,0.11335005,0.11337980,0.10678823,0.10676815,0.32809099,0.33058254,0.000125,,,,,,,
stage1_sgd,28,0.11319685,0.11479095,0.10661875,0.10824486,0.32890482,0.32730489,0.000125,,,,,,,
stage1_sgd,29,0.11660670,0.11485921,0.11006220,0.10816795,0.32722546,0.33456303,0.000125,,,,,,,
stage1_sgd,30,0.11189279,0.11149553,0.10532371,0.10489249,0.32845406,0.33015204,0.000125,,,,,,,
stage1_sgd,31,0.11149446,0.11057116,0.10497440,0.10394433,0.32600293,0.33134151,0.000125,,,,,,,
stage1_sgd,32,0.11265604,0.11189042,0.10614931,0.10536236,0.32533640,0.32640280,0.000125,,,,,,,
stage1_sgd,33,0.11264832,0.11223171,0.10617747,0.10569859,0.32354273,0.32665599,0.000125,,,,,,,
stage1_sgd,34,0.11007776,0.11423967,0.10362866,0.10770203,0.32245509,0.32688168,0.000125,,,,,,,
stage1_sgd,35,0.10957119,0.10900673,0.10313394,0.10245239,0.32186262,0.32771701,0.000125,,,,,,,
stage1_sgd,36,0.11485473,0.11610071,0.10837708,0.10966833,0.32388246,0.32161890,0.000125,,,,,,,
stage1_sgd,37,0.11444589,0.11145329,0.10795595,0.10491175,0.32449679,0.32707726,0.000125,,,,,,,
stage1_sgd,38,0.11136476,0.13006157,0.10489568,0.12351794,0.32345417,0.32718150,0.000125,,,,,,,
stage1_sgd,39,0.10894359,0.10735800,0.10247848,0.10080312,0.32325562,0.32774399,0.000125,,,,,,,
stage1_sgd,40,0.10672726,0.10720188,0.10032047,0.10068656,0.32033932,0.32576596,0.000125,,,,,,,
stage1_sgd,41,0.11114474,0.11080623,0.10470995,0.10428519,0.32173920,0.32605199,0.000125,,,,,,,
stage1_sgd,42,0.11422105,0.11035845,0.10781776,0.10381267,0.32016452,0.32728859,0.000125,,,,,,,
stage1_sgd,43,0.10633685,0.10815495,0.09991769,0.10163226,0.32095813,0.32613423,0.000125,,,,,,,
stage1_sgd,44,0.10905213,0.17507071,0.10265488,0.16864175,0.31986266,0.32144793,0.000125,,,,,,,
stage1_sgd,45,0.13800258,0.11087952,0.13152158,0.10440361,0.32405002,0.32379556,0.000125,,,,,,,
stage1_sgd,46,0.11144088,0.10674941,0.10500371,0.10025522,0.32185843,0.32470948,0.000125,,,,,,,
stage1_sgd,47,0.10898064,0.11279373,0.10254246,0.10629499,0.32190889,0.32493681,0.000125,,,,,,,
stage1_sgd,48,0.10700084,0.10711130,0.10062537,0.10059480,0.31877365,0.32582515,0.000125,,,,,,,
stage1_sgd,49,0.10504251,0.10711295,0.09868015,0.10070328,0.31811819,0.32048369,0.000125,,,,,,,
stage1_sgd,50,0.10645391,0.10553525,0.10012479,0.09902457,0.31645615,0.32553382,0.000125,,,,,,,
stage1_sgd,51,0.10385818,0.10575461,0.09753135,0.09934947,0.31634145,0.32025713,6.25e-05,,,,,,,
stage1_sgd,52,0.10299745,0.10424554,0.09672024,0.09784002,0.31386058,0.32027621,6.25e-05,,,,,,,
stage1_sgd,53,0.10847196,0.10740903,0.10213781,0.10104543,0.31670728,0.31817973,6.25e-05,,,,,,,
stage1_sgd,54,0.10309439,0.10414197,0.09683009,0.09774474,0.31321488,0.31986172,6.25e-05,,,,,,,
stage1_sgd,55,0.10722241,0.10859584,0.10090408,0.10213915,0.31591651,0.32283469,6.25e-05,,,,,,,
stage1_sgd,56,0.10284858,0.10789340,0.09656931,0.10150728,0.31396362,0.31930605,6.25e-05,,,,,,,
stage1_sgd,57,0.10272380,0.10451468,0.09644351,0.09814892,0.31401473,0.31828798,6.25e-05,,,,,,,
stage1_sgd,58,0.10207152,0.10447096,0.09580972,0.09811091,0.31309011,0.31800257,6.25e-05,,,,,,,
stage1_sgd,59,0.10185291,0.10266235,0.09561385,0.09634238,0.31195292,0.31599834,6.25e-05,,,,,,,
stage1_sgd,60,0.10118251,0.10423328,0.09497158,0.09792469,0.31054652,0.31542931,6.25e-05,,,,,,,
stage1_sgd,61,0.10621293,0.12213880,0.09996445,0.11583923,0.31242425,0.31497808,6.25e-05,,,,,,,
stage1_sgd,62,0.10758341,0.10677020,0.10126481,0.10042880,0.31592994,0.31706961,6.25e-05,,,,,,,
stage1_sgd,63,0.10137019,0.10765883,0.09511041,0.10136177,0.31298885,0.31485304,6.25e-05,,,,,,,
stage1_sgd,64,0.10228452,0.10585496,0.09603677,0.09953052,0.31238759,0.31622212,6.25e-05,,,,,,,
stage1_sgd,65,0.10012353,0.10830530,0.09393581,0.10200295,0.30938572,0.31511746,6.25e-05,,,,,,,
stage1_sgd,66,0.10155389,0.10433847,0.09537170,0.09796055,0.30910985,0.31889595,6.25e-05,,,,,,,
stage1_sgd,67,0.09944979,0.10204412,0.09326530,0.09577399,0.30922450,0.31350675,6.25e-05,,,,,,,
stage1_sgd,68,0.09962868,0.10134449,0.09348242,0.09509014,0.30731317,0.31271770,6.25e-05,,,,,,,
stage1_sgd,69,0.10147254,0.10476592,0.09529978,0.09849760,0.30863775,0.31341563,6.25e-05,,,,,,,
stage1_sgd,70,0.10089436,0.10166146,0.09468670,0.09538397,0.31038288,0.31387446,6.25e-05,,,,,,,
stage1_sgd,71,0.09991026,0.10082270,0.09374780,0.09449720,0.30812301,0.31627476,6.25e-05,,,,,,,
stage1_sgd,72,0.10156285,0.10104327,0.09534817,0.09476131,0.31073356,0.31409795,6.25e-05,,,,,,,
stage1_sgd,73,0.16901959,0.15746201,0.16231223,0.15132260,0.33536799,0.30697068,6.25e-05,,,,,,,
stage1_sgd,74,0.11666905,0.10736679,0.11024903,0.10090439,0.32100104,0.32312039,6.25e-05,,,,,,,
stage1_sgd,75,0.10317062,0.10400896,0.09686163,0.09759707,0.31544975,0.32059470,6.25e-05,,,,,,,
stage1_sgd,76,0.11186032,0.10615864,0.10551156,0.09972757,0.31743799,0.32155361,6.25e-05,,,,,,,
stage1_sgd,77,0.10323454,0.10359027,0.09690967,0.09733461,0.31624346,0.31278321,6.25e-05,,,,,,,
stage1_sgd,78,0.10161083,0.10371619,0.09536817,0.09743974,0.31213257,0.31382285,6.25e-05,,,,,,,
stage1_sgd,79,0.09926780,0.09961190,0.09302901,0.09332312,0.31193927,0.31443884,6.25e-05,,,,,,,
stage1_sgd,80,0.09883009,0.10149140,0.09263564,0.09519244,0.30972289,0.31494783,6.25e-05,,,,,,,
stage1_sgd,81,0.10214100,0.11200739,0.09594422,0.10573074,0.30983930,0.31383275,6.25e-05,,,,,,,
stage1_sgd,82,0.10567941,0.10108205,0.09945956,0.09480952,0.31099267,0.31362621,6.25e-05,,,,,,,
stage1_sgd,83,0.09811198,0.09854344,0.09196684,0.09226630,0.30725704,0.31385682,6.25e-05,,,,,,,
stage1_sgd,84,0.09784374,0.09798990,0.09169599,0.09176172,0.30738753,0.31140906,6.25e-05,,,,,,,
