stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.14934468,0.12649070,0.13241899,0.11021113,0.33851370,0.32559126,5e-05,,,,,,,
stage2_adamw,2,0.12896720,0.11971528,0.11256742,0.10344501,0.32799577,0.32540548,4.9988898e-05,,,,,,,
stage2_adamw,3,0.12886872,0.13764891,0.11278648,0.12083770,0.32164478,0.33622417,4.9955601e-05,,,,,,,
stage2_adamw,4,0.12373585,0.12839914,0.10804563,0.11225572,0.31380438,0.32286840,4.9900144e-05,,,,,,,
stage2_adamw,5,0.11750896,0.11160514,0.10206672,0.09543700,0.30884472,0.32336280,4.9822581e-05,,,,,,,
stage2_adamw,6,0.10898099,0.12210973,0.09368413,0.10619661,0.30593720,0.31826238,4.9722988e-05,,,,,,,
stage2_adamw,7,0.10840282,0.10372839,0.09340975,0.08842686,0.29986126,0.30603060,4.9601463e-05,,,,,,,
stage2_adamw,8,0.11151310,0.11742098,0.09650803,0.10159498,0.30010141,0.31652002,4.9458127e-05,,,,,,,
stage2_adamw,9,0.11895400,0.11635886,0.10370543,0.10076055,0.30497152,0.31196623,4.9293121e-05,,,,,,,
stage2_adamw,10,0.11999520,0.11365852,0.10460476,0.09782025,0.30780881,0.31676542,4.9106608e-05,,,,,,,
stage2_adamw,11,0.10636667,0.10635766,0.09163463,0.09136995,0.29464089,0.29975412,4.8898772e-05,,,,,,,
stage2_adamw,12,0.10259874,0.10139847,0.08807354,0.08641632,0.29050394,0.29964304,4.8669817e-05,,,,,,,
stage2_adamw,13,0.10213472,0.10350430,0.08772011,0.08835406,0.28829226,0.30300494,4.8419971e-05,,,,,,,
stage2_adamw,14,0.10220477,0.10393572,0.08803390,0.08968381,0.28341741,0.28503822,4.8149479e-05,,,,,,,
stage2_adamw,15,0.09444320,0.09440837,0.08054941,0.08036659,0.27787581,0.28083544,4.7858609e-05,,,,,,,
stage2_adamw,16,0.09712404,0.09394052,0.08333954,0.07946750,0.27569004,0.28946045,4.7547647e-05,,,,,,,
stage2_adamw,17,0.09921388,0.09708943,0.08537974,0.08281133,0.27668269,0.28556210,4.72169e-05,,,,,,,
stage2_adamw,18,0.09638372,0.09690353,0.08248181,0.08216300,0.27803820,0.29481062,4.6866696e-05,,,,,,,
stage2_adamw,19,0.09581240,0.13224342,0.08204449,0.11643033,0.27535822,0.31626183,4.6497378e-05,,,,,,,
stage2_adamw,20,0.09689797,0.09534996,0.08303604,0.08105139,0.27723872,0.28597148,4.6109313e-05,,,,,,,
stage2_adamw,21,0.08704848,0.08784231,0.07369805,0.07406073,0.26700860,0.27563165,4.5702882e-05,,,,,,,
stage2_adamw,22,0.09613227,0.09729907,0.08225921,0.08343290,0.27746127,0.27732337,4.5278488e-05,,,,,,,
stage2_adamw,23,0.08948467,0.08871340,0.07622235,0.07540944,0.26524642,0.26607911,4.4836548e-05,,,,,,,
stage2_adamw,24,0.08776360,0.08646391,0.07464274,0.07310617,0.26241729,0.26715470,4.4377499e-05,,,,,,,
stage2_adamw,25,0.08480237,0.08421251,0.07168826,0.07067932,0.26228211,0.27066372,4.3901794e-05,,,,,,,
stage2_adamw,26,0.08845191,0.08527683,0.07511535,0.07176492,0.26673115,0.27023822,4.3409903e-05,,,,,,,
stage2_adamw,27,0.08786403,0.08515686,0.07481198,0.07172897,0.26104099,0.26855793,4.290231e-05,,,,,,,
stage2_adamw,28,0.08476966,0.09064299,0.07154145,0.07661736,0.26456403,0.28051267,4.2379517e-05,,,,,,,
stage2_adamw,29,0.08104760,0.08410792,0.06791759,0.07112872,0.26260036,0.25958393,4.184204e-05,,,,,,,
stage2_adamw,30,0.08749565,0.08429931,0.07436827,0.07093148,0.26254764,0.26735652,4.1290409e-05,,,,,,,
stage2_adamw,31,0.07872104,0.08087818,0.06600629,0.06777510,0.25429498,0.26206160,4.0725168e-05,,,,,,,
stage2_adamw,32,0.07554054,0.09043764,0.06316391,0.07686197,0.24753271,0.27151351,4.0146876e-05,,,,,,,
stage2_adamw,33,0.07972636,0.07919923,0.06686333,0.06635186,0.25726064,0.25694725,3.9556103e-05,,,,,,,
stage2_adamw,34,0.07544189,0.07635047,0.06313952,0.06357120,0.24604731,0.25558548,3.8953432e-05,,,,,,,
stage2_adamw,35,0.07587970,0.08909138,0.06364492,0.07621010,0.24469572,0.25762559,3.8339458e-05,,,,,,,
stage2_adamw,36,0.07705659,0.08398317,0.06434030,0.07094633,0.25432580,0.26073672,3.7714786e-05,,,,,,,
stage2_adamw,37,0.07572341,0.08006338,0.06318779,0.06686597,0.25071233,0.26394826,3.7080034e-05,,,,,,,
stage2_adamw,38,0.07546502,0.07799767,0.06306380,0.06492180,0.24802447,0.26151749,3.6435828e-05,,,,,,,
stage2_adamw,39,0.07411964,0.08060293,0.06192237,0.06749109,0.24394543,0.26223668,3.5782802e-05,,,,,,,
stage2_adamw,40,0.07413636,0.07553994,0.06208322,0.06298716,0.24106277,0.25105559,3.5121603e-05,,,,,,,
stage2_adamw,41,0.07457888,0.07826452,0.06256655,0.06589094,0.24024658,0.24747144,3.4452882e-05,,,,,,,
stage2_adamw,42,0.07586195,0.07773371,0.06384326,0.06532356,0.24037364,0.24820294,3.37773e-05,,,,,,,
stage2_adamw,43,0.06924882,0.07592163,0.05751202,0.06355808,0.23473600,0.24727099,3.3095522e-05,,,,,,,
stage2_adamw,44,0.06868243,0.07247380,0.05700122,0.06013122,0.23362415,0.24685152,3.2408223e-05,,,,,,,
stage2_adamw,45,0.06547356,0.07018089,0.05399516,0.05838793,0.22956803,0.23585924,3.171608e-05,,,,,,,
stage2_adamw,46,0.06422984,0.07280251,0.05293202,0.06060119,0.22595629,0.24402642,3.1019775e-05,,,,,,,
stage2_adamw,47,0.06690472,0.07232816,0.05565434,0.06034794,0.22500763,0.23960454,3.0319998e-05,,,,,,,
stage2_adamw,48,0.06764975,0.06988581,0.05640942,0.05827253,0.22480654,0.23226559,2.9617437e-05,,,,,,,
stage2_adamw,49,0.07495311,0.07906261,0.06278061,0.06633728,0.24345001,0.25450659,2.8912787e-05,,,,,,,
stage2_adamw,50,0.06664372,0.07270060,0.05509351,0.06053946,0.23100414,0.24322275,2.8206742e-05,,,,,,,
stage2_adamw,51,0.06058866,0.06867357,0.04954254,0.05703284,0.22092224,0.23281471,2.75e-05,,,,,,,
stage2_adamw,52,0.06332179,0.07444505,0.05224893,0.06220177,0.22145707,0.24486569,2.6793258e-05,,,,,,,
stage2_adamw,53,0.06364367,0.07069733,0.05255150,0.05882431,0.22184332,0.23746032,2.6087213e-05,,,,,,,
stage2_adamw,54,0.06676964,0.07089847,0.05529051,0.05887589,0.22958267,0.24045145,2.5382563e-05,,,,,,,
