stage,epoch,train_loss,val_loss,train_mt_loss,val_mt_loss,train_aux_loss,val_aux_loss,lr,val_strike_mean_deg,val_strike_median_deg,val_dip_mean_deg,val_dip_median_deg,val_rake_mean_deg,val_rake_median_deg,val_mechanism_score_deg
stage2_adamw,1,0.04350610,0.06010246,0.03439860,0.04981567,0.18214998,0.20573588,1e-05,,,,,,,
stage2_adamw,2,0.04550279,0.06406411,0.03623848,0.05347546,0.18528603,0.21177299,9.9921069e-06,,,,,,,
stage2_adamw,3,0.04339354,0.06006591,0.03416691,0.04975738,0.18453266,0.20617061,9.9684588e-06,,,,,,,
stage2_adamw,4,0.04427028,0.06157339,0.03504487,0.05105505,0.18450831,0.21036689,9.929149e-06,,,,,,,
stage2_adamw,5,0.04292343,0.06174522,0.03379684,0.05127274,0.18253189,0.20944954,9.8743326e-06,,,,,,,
stage2_adamw,6,0.04891080,0.06563235,0.03945570,0.05473507,0.18910191,0.21794564,9.8042261e-06,,,,,,,
stage2_adamw,7,0.04835313,0.06535740,0.03886202,0.05466784,0.18982222,0.21379124,9.7191059e-06,,,,,,,
stage2_adamw,8,0.04783532,0.06812796,0.03841760,0.05729191,0.18835441,0.21672095,9.6193082e-06,,,,,,,
stage2_adamw,9,0.04509292,0.06373391,0.03580439,0.05331343,0.18577050,0.20840952,9.5052267e-06,,,,,,,
stage2_adamw,10,0.04257942,0.06306563,0.03350796,0.05256033,0.18142927,0.21010616,9.3773117e-06,,,,,,,
stage2_adamw,11,0.04166977,0.06310504,0.03265144,0.05298494,0.18036668,0.20240203,9.236068e-06,,,,,,,
stage2_adamw,12,0.04044388,0.06051694,0.03160347,0.05020501,0.17680822,0.20623857,9.082053e-06,,,,,,,
stage2_adamw,13,0.04018638,0.06199460,0.03130451,0.05163053,0.17763753,0.20728140,8.9158745e-06,,,,,,,
stage2_adamw,14,0.04048012,0.06139627,0.03157756,0.05114873,0.17805115,0.20495082,8.7381884e-06,,,,,,,
stage2_adamw,15,0.03998526,0.06108256,0.03119902,0.05083254,0.17572464,0.20500054,8.549696e-06,,,,,,,
stage2_adamw,16,0.03939508,0.06178355,0.03063827,0.05167560,0.17513627,0.20215884,8.351141e-06,,,,,,,
stage2_adamw,17,0.04036944,0.07036628,0.03150222,0.05917033,0.17734449,0.22391901,8.1433072e-06,,,,,,,
stage2_adamw,18,0.04180261,0.06500663,0.03278292,0.05469773,0.18039392,0.20617790,7.9270147e-06,,,,,,,
stage2_adamw,19,0.04049893,0.06055269,0.03157338,0.05047368,0.17851104,0.20158005,7.7031172e-06,,,,,,,
stage2_adamw,20,0.03898371,0.06236664,0.03027203,0.05207824,0.17423355,0.20576791,7.4724982e-06,,,,,,,
stage2_adamw,21,0.04416630,0.05969838,0.03524700,0.04976436,0.17838599,0.19868042,7.236068e-06,,,,,,,
stage2_adamw,22,0.04046701,0.06030160,0.03178860,0.05045391,0.17356811,0.19695380,6.9947595e-06,,,,,,,
stage2_adamw,23,0.04013295,0.06064650,0.03150732,0.05062333,0.17251254,0.20046325,6.7495253e-06,,,,,,,
stage2_adamw,24,0.03886411,0.06260194,0.03028596,0.05260544,0.17156294,0.19992983,6.5013329e-06,,,,,,,
stage2_adamw,25,0.03828939,0.06074572,0.02977804,0.05075752,0.17022707,0.19976390,6.2511621e-06,,,,,,,
stage2_adamw,26,0.03921450,0.06092538,0.03071734,0.05090883,0.16994329,0.20033112,6e-06,,,,,,,
stage2_adamw,27,0.04022862,0.06089032,0.03152015,0.05080138,0.17416952,0.20177880,5.7488379e-06,,,,,,,
stage2_adamw,28,0.03824558,0.06009904,0.02971078,0.05007640,0.17069595,0.20045282,5.4986671e-06,,,,,,,
stage2_adamw,29,0.03721827,0.06068109,0.02874645,0.05077724,0.16943624,0.19807696,5.2504747e-06,,,,,,,
stage2_adamw,30,0.03796156,0.06184470,0.02948314,0.05185666,0.16956824,0.19976085,5.0052405e-06,,,,,,,
stage2_adamw,31,0.03665207,0.05932823,0.02827209,0.04948290,0.16759955,0.19690654,4.763932e-06,,,,,,,
stage2_adamw,32,0.03586146,0.05971233,0.02751557,0.04988011,0.16691775,0.19664453,4.5275018e-06,,,,,,,
stage2_adamw,33,0.03547508,0.05955931,0.02718780,0.04978094,0.16574563,0.19556744,4.2968828e-06,,,,,,,
stage2_adamw,34,0.03557220,0.06112039,0.02730476,0.05119241,0.16534893,0.19855945,4.0729853e-06,,,,,,,
stage2_adamw,35,0.03547002,0.06031426,0.02716279,0.05051795,0.16614466,0.19592624,3.8566928e-06,,,,,,,
stage2_adamw,36,0.03493219,0.05983639,0.02673219,0.05003833,0.16399993,0.19596118,3.648859e-06,,,,,,,
stage2_adamw,37,0.03473646,0.05971877,0.02656285,0.04998100,0.16347233,0.19475524,3.450304e-06,,,,,,,
stage2_adamw,38,0.03447895,0.06040470,0.02633823,0.05067004,0.16281425,0.19469309,3.2618116e-06,,,,,,,
stage2_adamw,39,0.03435684,0.06031555,0.02625477,0.05059379,0.16204153,0.19443532,3.0841255e-06,,,,,,,
stage2_adamw,40,0.03421284,0.05964256,0.02613375,0.04992131,0.16158168,0.19442497,2.917947e-06,,,,,,,
stage2_adamw,41,0.03416496,0.05983766,0.02608871,0.05010094,0.16152510,0.19473425,2.763932e-06,,,,,,,
stage2_adamw,42,0.03387549,0.06004710,0.02583039,0.05031498,0.16090198,0.19464241,2.6226883e-06,,,,,,,
stage2_adamw,43,0.03378660,0.06040889,0.02575296,0.05066789,0.16067298,0.19482002,2.4947733e-06,,,,,,,
