Strike Dip Rake Strike2 Dip2 Rake2 T
109.258 94.499 -0.011 199.257 89.989 -175.501 1676870635.228
105.641 92.921 170.942 195.175 80.954 2.958 1676870906.744
68.135 77.455 55.910 320.341 36.061 158.346 1676872252.424
90.259 86.610 99.976 198.839 10.530 18.876 1676872261.636
40.633 74.754 156.980 137.008 67.834 16.496 1676872265.364
43.492 78.401 100.163 181.774 15.375 49.316 1676872286.192
39.026 95.683 119.398 119.058 29.894 11.460 1676872291.960
60.924 77.622 116.947 173.787 29.460 25.840 1676872292.868
78.400 81.585 81.288 304.721 12.090 135.679 1676872322.812
50.165 88.056 131.691 142.347 41.728 2.922 1676872325.660
80.106 81.899 124.601 181.651 35.422 14.071 1676872357.620
77.162 87.737 142.254 168.913 52.288 2.861 1676872363.132
88.857 96.494 -150.883 2.461 61.088 -7.424 1676872365.860
-4.151 96.660 -63.570 72.715 27.197 -165.300 1676872370.820
90.132 87.759 48.878 357.567 41.172 176.594 1676872374.160
-2.391 94.321 -171.187 268.278 81.212 -4.372 1676872390.840
56.744 81.894 91.956 223.126 8.337 76.520 1676872391.988
131.634 90.327 -23.989 221.488 66.012 -179.642 1676872400.496
47.663 81.977 36.053 311.861 54.354 170.110 1676872401.672
58.423 89.251 -70.563 150.545 19.451 -177.749 1676872419.652
-2.636 88.351 48.998 265.468 41.029 177.488 1676872422.224
51.710 83.169 50.270 313.565 40.217 169.384 1676872433.084
92.220 81.327 76.914 329.246 15.657 146.030 1676872502.056
63.909 84.276 128.542 161.045 38.900 9.139 1676872514.272
88.975 90.272 176.534 178.959 86.534 0.273 1676872525.368
65.533 84.901 172.164 156.233 82.195 5.147 1676872538.088
87.327 89.381 170.241 177.434 80.242 0.628 1676872545.108
60.475 82.706 110.303 169.415 21.521 20.248 1676872551.708
46.466 77.301 62.088 293.929 30.452 154.296 1676872553.472
4.942 89.931 163.639 94.962 73.639 0.072 1676872554.636
-8.968 86.334 137.704 84.362 47.810 4.951 1676872556.232
21.939 85.043 74.223 274.934 16.519 162.308 1676872556.864
53.263 83.588 127.145 151.650 37.616 10.543 1676872558.528
39.471 79.258 89.177 223.877 10.773 94.329 1676872559.452
104.754 101.174 159.957 190.710 70.353 11.875 1676872561.036
19.214 73.919 86.240 212.560 16.504 102.815 1676872563.240
36.246 79.102 86.571 233.830 11.418 107.257 1676872563.744
83.586 90.396 -175.622 353.616 85.622 -0.397 1676872570.788
