X Y Z Strike Dip Rake T
-0.065 0.195 -1.200 30.000 30.000 -105.000 1676870635.228
-0.040 -0.020 -1.120 15.000 45.000 -90.000 1676870906.744
-0.060 0.195 -1.160 90.000 30.000 90.000 1676872261.636
0.080 0.110 -1.045 180.000 45.000 -75.000 1676872265.364
0.130 0.225 -1.270 195.000 45.000 105.000 1676872286.192
0.030 0.060 -1.045 135.000 30.000 90.000 1676872291.960
0.005 0.060 -1.080 135.000 45.000 90.000 1676872292.868
0.055 0.110 -1.115 105.000 30.000 -90.000 1676872252.424
0.070 0.170 -1.155 90.000 30.000 -90.000 1676872322.812
0.120 0.235 -1.140 120.000 30.000 90.000 1676872325.660
0.120 0.170 -1.135 0.000 45.000 75.000 1676872357.620
0.170 0.045 -1.035 135.000 30.000 -90.000 1676872363.132
0.120 0.095 -1.110 120.000 30.000 -90.000 1676872365.860
0.160 0.320 -1.450 330.000 60.000 75.000 1676872370.820
0.155 0.250 -1.380 15.000 45.000 75.000 1676872374.160
0.070 0.210 -1.155 195.000 45.000 -75.000 1676872419.652
0.120 0.170 -1.160 75.000 30.000 -105.000 1676872422.224
0.145 0.080 -1.115 105.000 30.000 -90.000 1676872433.084
0.040 0.210 -0.945 105.000 30.000 90.000 1676872390.840
0.115 0.135 -0.995 105.000 30.000 -90.000 1676872391.988
0.080 0.235 -1.080 135.000 30.000 -75.000 1676872400.496
0.080 0.210 -1.165 105.000 30.000 90.000 1676872401.672
0.195 0.085 -0.970 120.000 30.000 -105.000 1676872502.056
0.070 0.110 -1.090 210.000 45.000 -75.000 1676872514.272
0.145 0.210 -1.095 330.000 60.000 75.000 1676872525.368
0.145 0.135 -1.045 135.000 30.000 -75.000 1676872538.088
0.055 0.110 -1.030 195.000 45.000 -75.000 1676872545.108
0.040 0.160 -1.130 270.000 60.000 -90.000 1676872551.708
0.120 0.185 -1.105 105.000 30.000 -90.000 1676872553.472
0.095 0.110 -1.050 150.000 30.000 105.000 1676872554.636
0.195 0.105 -0.970 105.000 30.000 75.000 1676872556.232
0.130 0.060 -1.015 135.000 30.000 -90.000 1676872556.864
0.120 0.055 -1.020 180.000 45.000 -75.000 1676872558.528
0.120 0.030 -1.090 210.000 45.000 -75.000 1676872559.452
0.135 0.055 -1.095 210.000 45.000 -75.000 1676872561.036
0.110 0.040 -1.055 210.000 45.000 105.000 1676872563.240
0.120 0.105 -1.030 75.000 30.000 75.000 1676872563.744
0.120 0.105 -1.080 90.000 30.000 90.000 1676872570.788
0.070 0.005 -0.945 165.000 45.000 -90.000 1676872571.904
0.080 0.030 -1.040 0.000 45.000 -90.000 1676872581.340
0.135 0.145 -1.240 75.000 30.000 -105.000 1676872588.932
0.020 0.055 -0.970 60.000 45.000 -90.000 1676872605.176
0.185 0.030 -1.060 0.000 45.000 -90.000 1676872634.684
0.135 0.005 -0.785 270.000 45.000 -75.000 1676872637.704
0.110 0.055 -1.275 0.000 45.000 -105.000 1676872638.316
0.160 0.020 -0.990 135.000 30.000 -90.000 1676872639.808
0.190 0.170 -1.300 150.000 30.000 -90.000 1676872641.152
0.145 0.030 -0.980 195.000 45.000 105.000 1676872644.592
0.145 0.030 -0.975 180.000 45.000 -75.000 1676872646.064
0.120 0.055 -1.020 105.000 30.000 -90.000 1676872648.124
0.150 -0.020 -1.350 90.000 45.000 75.000 1676872728.676
0.160 0.080 -1.115 75.000 30.000 75.000 1676872732.044
0.135 0.030 -1.050 15.000 45.000 -105.000 1676872735.320
0.135 0.130 -1.250 195.000 45.000 -75.000 1676872738.532
0.110 -0.045 -0.795 180.000 30.000 90.000 1676872691.184
0.210 -0.035 -1.025 0.000 60.000 -90.000 1676872826.632
0.160 0.000 -1.110 75.000 45.000 -105.000 1676872829.692
0.020 -0.140 -0.850 330.000 45.000 -75.000 1676872844.648
0.210 -0.035 -1.010 225.000 45.000 -75.000 1676872952.632
0.210 0.000 -1.060 135.000 30.000 -90.000 1676872957.080
0.185 -0.035 -1.060 225.000 45.000 -75.000 1676872958.560
0.185 0.090 -1.230 75.000 30.000 -105.000 1676872969.840
0.160 0.015 -1.110 120.000 30.000 -90.000 1676872974.324
0.145 0.030 -1.030 195.000 45.000 105.000 1676872975.568
0.160 0.015 -1.080 120.000 30.000 -90.000 1676872975.976
0.135 -0.020 -0.960 135.000 30.000 90.000 1676872978.596
0.170 0.105 -1.065 135.000 30.000 90.000 1676873004.632
0.160 -0.035 -0.910 150.000 30.000 90.000 1676873006.396
0.160 0.040 -1.140 120.000 30.000 -90.000 1676873011.384
0.170 0.025 -0.975 195.000 45.000 -75.000 1676873109.280
0.235 -0.105 -1.155 210.000 30.000 -90.000 1676873171.132
0.275 -0.065 -1.235 0.000 60.000 90.000 1676873172.612
0.175 -0.015 -1.130 30.000 45.000 -105.000 1676873182.500
0.210 0.090 -1.020 300.000 60.000 105.000 1676873184.972
0.100 -0.040 -0.895 270.000 45.000 -75.000 1676873186.540
0.210 0.155 -1.325 0.000 60.000 75.000 1676873404.024
0.130 0.120 -1.045 120.000 30.000 -75.000 1676873418.520
0.125 0.005 -1.290 90.000 45.000 75.000 1676873645.020
0.165 0.145 -1.345 60.000 30.000 -105.000 1676873621.716
0.150 -0.055 -1.200 90.000 45.000 75.000 1676873486.612
0.160 0.130 -1.140 60.000 30.000 -105.000 1676873757.452
0.145 0.030 -0.975 180.000 45.000 -75.000 1676873760.092
0.160 0.130 -1.140 60.000 30.000 75.000 1676873856.768
0.160 0.090 -1.050 30.000 45.000 75.000 1676873915.836
