X Y Z T
-0.040 0.120 -1.100 1676870635.284
-0.040 0.080 -1.020 1676870906.796
0.080 0.160 -1.140 1676872252.412
0.040 0.120 -1.060 1676872261.720
0.080 0.160 -1.020 1676872265.404
0.080 0.200 -1.220 1676872286.128
0.080 0.160 -1.020 1676872291.936
0.080 0.160 -0.980 1676872292.868
0.120 0.120 -1.180 1676872322.848
0.120 0.160 -1.140 1676872325.720
0.120 0.120 -1.060 1676872357.664
0.120 0.120 -1.060 1676872363.044
0.120 0.120 -1.060 1676872365.904
0.160 0.320 -1.500 1676872370.832
0.080 0.200 -1.380 1676872374.088
0.040 0.160 -1.020 1676872390.732
0.040 0.160 -1.020 1676872392.028
0.080 0.160 -0.980 1676872400.560
0.080 0.160 -1.140 1676872401.704
0.120 0.160 -1.180 1676872419.648
0.120 0.120 -1.060 1676872422.284
0.120 0.080 -1.140 1676872433.116
0.120 0.160 -1.020 1676872501.836
0.120 0.160 -1.140 1676872514.296
0.120 0.160 -1.020 1676872525.416
0.120 0.160 -1.020 1676872538.132
0.080 0.160 -0.980 1676872545.156
0.040 0.160 -1.180 1676872551.736
0.120 0.160 -1.180 1676872553.500
0.120 0.160 -1.100 1676872554.652
0.120 0.080 -1.020 1676872556.252
0.080 0.160 -0.940 1676872556.808
0.120 0.080 -1.020 1676872558.568
0.120 0.080 -1.140 1676872559.480
0.160 0.080 -1.020 1676872561.084
0.160 0.040 -0.980 1676872563.284
0.120 0.080 -0.980 1676872563.784
0.120 0.080 -0.980 1676872570.836
0.120 0.080 -1.020 1676872571.860
0.080 0.080 -0.940 1676872581.396
0.160 0.120 -1.140 1676872588.984
0.120 0.080 -1.020 1676872605.228
0.160 0.080 -1.060 1676872634.720
0.160 0.080 -0.860 1676872637.332
0.160 0.080 -1.300 1676872638.268
0.160 0.120 -0.940 1676872639.784
0.240 0.120 -1.300 1676872641.120
0.120 0.080 -0.980 1676872644.624
0.120 0.080 -0.900 1676872646.116
0.120 0.080 -1.020 1676872648.088
0.160 -0.120 -0.820 1676872691.380
0.200 0.080 -1.300 1676872728.764
0.160 0.080 -1.140 1676872732.068
0.160 0.080 -1.100 1676872735.348
0.160 0.080 -1.300 1676872738.560
0.160 0.040 -1.100 1676872826.540
0.160 0.000 -1.060 1676872829.360
0.120 -0.040 -0.900 1676872844.800
0.160 0.040 -1.060 1676872952.664
0.160 0.000 -1.060 1676872957.124
0.160 0.040 -1.060 1676872958.596
0.160 0.040 -1.180 1676872969.848
0.160 0.040 -1.060 1676872974.372
0.120 0.080 -0.980 1676872975.588
0.160 0.040 -0.980 1676872976.032
0.160 0.080 -0.860 1676872978.644
0.120 0.080 -1.140 1676873004.832
0.160 0.040 -0.860 1676873006.432
0.160 0.040 -1.140 1676873011.420
0.120 0.000 -0.900 1676873109.332
0.160 -0.080 -1.180 1676873171.164
0.200 -0.040 -1.260 1676873172.632
0.200 -0.040 -1.180 1676873182.524
0.160 0.040 -1.020 1676873184.824
0.200 -0.040 -0.820 1676873186.324
0.160 0.080 -1.300 1676873404.056
0.080 0.120 -1.020 1676873418.560
0.200 -0.080 -1.100 1676873486.524
0.240 0.120 -1.420 1676873621.724
0.200 0.080 -1.340 1676873645.164
0.160 0.080 -1.140 1676873757.492
0.120 0.080 -0.900 1676873760.144
0.160 0.080 -1.140 1676873856.796
0.200 0.120 -1.380 1676873906.096
0.160 0.040 -1.100 1676873915.856
0.120 0.080 -0.860 1676874042.072
0.160 0.080 -1.020 1676874087.408
0.120 0.160 -1.180 1676874092.688
0.160 0.120 -1.140 1676874105.252
0.160 0.080 -1.140 1676874142.892
0.120 0.080 -0.900 1676874190.748
0.160 0.080 -1.140 1676874321.052
0.200 -0.080 -0.860 1676874469.700
0.160 0.080 -1.020 1676874524.588
0.160 0.080 -1.100 1676874529.680
0.200 -0.120 -1.140 1676874548.920
0.160 0.080 -1.140 1676874611.444
0.160 0.080 -1.020 1676874673.408
0.160 0.040 -1.020 1676874792.856
0.160 0.080 -1.140 1676874810.904
0.240 0.040 -1.260 1676874813.444
0.200 0.040 -1.140 1676874860.792
0.160 0.080 -1.140 1676874862.708
0.160 0.080 -1.100 1676874870.924
0.200 0.040 -1.140 1676874872.792
0.200 -0.120 -1.180 1676874919.468
0.160 -0.080 -0.780 1676874925.284
0.200 0.040 -1.140 1676874962.564
0.160 0.080 -1.020 1676875528.112
0.160 0.080 -0.980 1676875544.728
0.200 0.080 -1.300 1676875756.400
0.240 -0.040 -1.140 1676875909.356
0.240 0.080 -1.300 1676876810.692
0.160 0.040 -1.060 1676876852.920
0.200 0.040 -1.140 1676876855.084
0.240 0.080 -1.340 1676876884.992
0.160 0.080 -0.980 1676876886.112
0.120 0.080 -0.900 1676877013.488
0.200 0.000 -1.060 1676877096.256
0.200 0.000 -1.180 1676877100.104
0.120 0.080 -0.900 1676877195.160
0.160 0.080 -1.100 1676877246.064
0.160 0.080 -1.060 1676877248.420
0.160 -0.040 -0.900 1676877250.680
0.240 0.080 -1.300 1676877552.284
0.280 0.000 -0.980 1676877623.288
0.200 0.000 -1.180 1676878062.460
0.120 -0.080 -0.820 1676878200.216
0.200 0.040 -0.740 1676878947.396
